代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,預期現金股利,現金殖利率,股利發放率中位數
2330,台積電,25940000,239121,22948975733.48649,517885387.0,596540013.0,1016530249.0,838497664.0,259303805,265786399,285234185.0,291721852.0,0.5132147105745619,0.4781476158917775,0.2869780336462963,966.0,2024-06-28,400925658.97242475,0.015999881035085935,0.4781476158917775
2317,鴻海,13860000,27449,8344874433.046332,101794807.0,139320332.0,141482714.0,142098208.0,58224561,58744683,79025627.0,80721555.0,0.5770891927718866,0.5672224998717345,0.5705400519811912,214.0,2024-06-28,81072718.97875412,0.027333656652895482,0.5705400519811912
2454,聯發科,1599000,22311,6997035459.826255,40916800.0,111421062.0,118141106.0,76978637.0,16588763,58584650,116140659.0,120981171.0,1.4317994075783051,1.042358212309985,1.024039600577296,1400.0,2024-06-28,80239314.44937927,0.03584352472499744,1.042358212309985
2382,廣達,3863000,11221,12269052800.50193,25327631.0,33652524.0,28957466.0,39676394.0,14685910,20253559,26009039.0,23764557.0,0.7996625898411107,0.7728703796481952,0.8206711526485087,312.0,2024-06-28,31727727.981596306,0.026324472130067226,0.7996625898411107
2881,富邦金,13020000,10009,989714561.918919,,,,,23383194,33550645,44343497.0,22108799.0,,,,79.3,2024-06-28,,,
2412,中華電,7757000,9930,985115207.911197,33406130.0,35753579.0,36477157.0,36916708.0,32782969,33403565,35746314.0,36475514.0,0.999923217684898,0.9997968035591626,0.9999549581125524,125.5,2024-06-28,36913873.449693814,0.037918583189165536,0.999923217684898
2308,台達電,2598000,9182,3089759404.1621623,25485231.0,26796302.0,32665728.0,33392665.0,12987717,14286480,14286479.0,25559802.0,0.5605787916931183,0.5331511415269167,0.782465402271151,387.5,2024-06-28,18719219.797113083,0.01859417397711697,0.5605787916931183
2882,國泰金,14670000,8537,1002027967.3552125,,,,,29729344,36313949,49483159.0,16593213.0,,,,59.0,2024-06-28,,,
2891,中信金,19620000,7319,1316433061.5289576,,,,,20486315,25538754,20754630.0,,,,,37.85,2024-06-28,,,
3711,日月光投控,4395000,7296,1882760167.8532815,27592979.0,63907680.0,62090494.0,31725403.0,8520982,18082500,29990842.0,37840609.0,0.6553297489191,0.46928384820103,0.6094428722052042,168.5,2024-06-28,19334820.7261876,0.026108466562269103,0.6094428722052042
2303,聯電,12530000,7054,3033443461.3706565,29189489.0,55780255.0,87198291.0,60989633.0,9765694,19871129,37445300.0,45014783.0,0.6807631678649805,0.6713002656585202,0.5162346931776449,55.7,2024-06-28,40942356.83531565,0.058663311227654204,0.6713002656585202
6505,台塑化,9526000,6278,195327470.84169888,7429609.0,49401403.0,14421560.0,21888842.0,27625058,5620656,36197781.0,10479310.0,0.7565211036004721,0.7327277931762384,0.7266419166858509,64.8,2024-06-28,16038562.89384336,0.02598243613619412,0.7327277931762384
2886,兆豐金,14400000,5696,707146163.7027028,,,,,20737777,19738829,17078169.0,15504538.0,,,,40.4,2024-06-28,,,
6669,緯穎,174800,4834,5237718501.324325,8609657.0,8648012.0,14174709.0,12043655.0,4021131,5594905,4371020.0,8742040.0,0.6498406382507457,0.5054363939365486,0.6167350596051037,2645.0,2024-06-28,7427744.284288305,0.016065336964715397,0.6167350596051037
1216,統一,5682000,4642,650442807.6679536,21542407.0,19879062.0,17168480.0,18336478.0,14205039,15341442,15341442.0,17898349.0,0.7121507824079268,0.7717387269077384,1.042512150172875,81.3,2024-06-28,14150970.187691752,0.03063334633849833,0.7717387269077384
2884,玉山金,15660000,4503,547798906.945946,,,,,9191766,7665931,8947582.0,2855020.0,,,,28.55,2024-06-28,,,
2885,元大金,12690000,4061,506859065.6061776,,,,,14564923,18206154,10001247.0,,,,,32.05,2024-06-28,,,
1303,南亞,7931000,4021,465927045.5637066,25709049.0,81295023.0,32108977.0,6310050.0,17460662,19044329,59374150.0,23833140.0,0.7407636509619628,0.7303540586980337,0.7422578427210559,49.3,2024-06-28,4674255.675752534,0.011954670073380202,0.7407636509619628
3045,台灣大,3723000,4003,418343760.1158301,11286553.0,10988165.0,11025551.0,12274109.0,14005485,12869217,13429860.0,13966853.0,1.1402256295611246,1.2222113519409292,1.2667714293825316,107.0,2024-06-28,15001555.354760326,0.03765819283203006,1.2222113519409292
1301,台塑,6366000,3883,585890591.96139,20036199.0,71355311.0,36142868.0,7337709.0,28012404,15282289,52172634.0,26745324.0,0.7627339397058295,0.7311667942979044,0.7399889792918481,57.5,2024-06-28,5429823.793250607,0.014833760311575373,0.7399889792918481
5880,合庫金,14710000,3817,255506757.33204636,,,,,11334090,13600908,7004468.0,,,,,26.0,2024-06-28,,,
2892,第一金,13620000,3807,399316899.003861,,,,,13085040,12964159,10578754.0,,,,,28.1,2024-06-28,,,
3034,聯詠,608500,3736,2535919726.8339767,11817239.0,38865560.0,27969522.0,23317509.0,6389371,9492779,31338341.0,22514924.0,0.803299230894797,0.8063267581889981,0.8049806500089633,606.0,2024-06-28,18770143.55140985,0.05090194616803711,0.8049806500089633
2357,華碩,742800,3666,2401296066.216216,26557672.0,44549798.0,14690785.0,15928283.0,10398644,19311767,31195932.0,11141404.0,0.7271633974544154,0.7002485622942668,0.7583940545042351,498.0,2024-06-28,11582464.381895408,0.03131120167772709,0.7271633974544154
2002,中鋼,15730000,3658,655763069.9266409,885865.0,62053033.0,17783775.0,1681679.0,7915869,4778721,48872707.0,15759055.0,5.394412241142838,0.7875957811764012,0.8861479072918995,23.1,2024-06-28,1490216.3265867343,0.004101177958643929,0.8861479072918995
2207,和泰車,557100,3538,191756380.62934363,,,,,7646509,10935784,12916306.0,2964584.0,,,,622.0,2024-06-28,,,
2880,華南金,13640000,3486,292648292.93050194,,,,,6806523,3396434,10259126.0,8022828.0,,,,26.4,2024-06-28,,,
3008,大立光,133500,3363,1789642595.80695,24534131.0,18671230.0,22625049.0,17902322.0,10597076,12273828,14635600.0,9676444.0,0.5002756364185061,0.7838583746223468,0.4276872063348901,2745.0,2024-06-28,8956095.531919023,0.024439656800362995,0.5002756364185061
3231,緯創,2897000,3143,10638693731.988417,8681762.0,10468030.0,11162451.0,11471616.0,5681224,6258127,6257467.0,7400801.0,0.7208360468761986,0.5977693032977551,0.663008599097098,106.0,2024-06-28,7605780.0535398545,0.02476791232810733,0.663008599097098
2345,智邦,560600,3117,1854653049.2162163,5048353.0,4705059.0,8165812.0,8920165.0,3449054,3622184,3346320.0,4184543.0,0.7174981622719331,0.7112174363807128,0.5124466495187496,555.0,2024-06-28,6344176.883392961,0.020390562503472667,0.7112174363807128
