證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,3.03,112,29.77,1.07,113/1
1102,亞泥,5.07,112,13.18,0.86,113/1
1103,嘉泥,2.72,112,613.33,0.58,113/1
1104,環泥,5.91,112,10.95,1.00,113/1
1108,幸福,5.92,112,13.10,1.43,113/1
1109,信大,6.19,112,10.00,0.80,113/1
1110,東泥,0.82,112,97.00,1.53,113/1
1201,味全,1.44,112,34.81,1.29,113/1
1203,味王,2.21,112,23.55,2.00,113/1
1210,大成,3.85,112,11.61,2.10,113/1
1213,大飲,0.00,111,-,2.00,113/1
1215,卜蜂,5.09,112,14.36,3.20,113/1
1216,統一,3.74,112,24.19,3.40,113/1
1217,愛之味,1.90,112,28.14,0.85,113/1
1218,泰山,0.00,112,77.50,0.92,113/1
1219,福壽,4.23,112,21.00,1.37,113/1
1220,台榮,1.29,111,14.17,1.15,113/1
1225,福懋油,1.51,112,56.93,5.94,113/1
1227,佳格,3.02,112,26.17,2.08,113/1
1229,聯華,3.13,112,25.45,2.21,113/1
1231,聯華食,2.54,112,24.64,4.18,113/1
1232,大統益,4.55,112,20.34,4.08,113/1
1233,天仁,2.63,112,31.67,2.25,113/1
1234,黑松,4.36,112,18.79,0.97,113/1
1235,興泰,1.10,112,34.56,1.44,113/1
1236,宏亞,2.71,112,100.00,0.91,113/1
1256,鮮活果汁-KY,3.29,112,16.16,1.74,113/1
1301,台塑,1.59,112,76.46,1.18,113/1
1303,南亞,1.38,112,60.48,1.11,113/1
1304,台聚,2.25,112,-,0.72,113/1
1305,華夏,2.00,112,134.62,1.06,113/1
1307,三芳,4.62,112,12.75,1.43,113/1
1308,亞聚,2.53,112,-,0.82,113/1
1309,台達化,1.95,112,-,0.93,113/1
1310,台苯,0.00,112,-,0.98,113/1
1312,國喬,3.51,111,-,0.48,113/1
1313,聯成,1.59,112,-,0.54,113/1
1314,中石化,0.00,112,202.00,0.48,113/1
1315,達新,6.95,112,19.22,0.67,113/1
1316,上曜,0.00,112,-,1.78,113/1
1319,東陽,3.49,112,18.29,2.53,113/1
1321,大洋,1.02,112,48.40,1.40,113/1
1323,永裕,3.28,112,33.89,1.14,113/1
1324,地球,1.49,112,30.45,1.05,113/1
1325,恆大,2.11,112,75.00,0.87,113/1
1326,台化,2.40,112,28.11,0.93,113/1
1337,再生-KY,0.00,111,-,0.47,113/1
1338,廣華-KY,1.47,112,-,0.46,113/1
1339,昭輝,4.33,112,10.18,1.33,113/1
1340,勝悅-KY,0.00,111,-,0.41,113/1
1341,富林-KY,6.35,112,15.62,3.13,113/1
1342,八貫,5.26,112,14.79,4.03,113/1
1402,遠東新,3.91,112,22.15,0.80,113/1
1409,新纖,3.30,112,24.49,0.75,113/1
1410,南染,0.79,112,104.86,2.23,113/1
1413,宏洲,0.00,112,-,1.38,113/1
1414,東和,1.11,112,83.70,1.58,113/1
1416,廣豐,3.83,112,19.48,0.65,113/1
1417,嘉裕,1.75,112,-,0.83,113/1
1418,東華,0.00,111,60.88,1.36,113/1
1419,新紡,2.46,112,22.51,1.06,113/1
1423,利華,1.53,112,91.28,1.32,113/1
1432,大魯閣,0.00,112,35.70,2.09,113/1
1434,福懋,2.20,112,71.09,0.76,113/1
1435,中福,0.00,111,-,5.03,113/1
1436,華友聯,4.71,112,15.99,4.66,113/1
1437,勤益控,2.99,112,12.56,1.00,113/1
1438,三地開發,1.55,111,-,3.19,113/1
1439,雋揚,1.06,112,14.08,0.99,113/1
1440,南紡,1.89,112,12.45,1.06,113/1
1441,大東,0.00,112,-,2.46,113/1
1442,名軒,5.47,112,11.19,3.04,113/1
1443,立益物流,0.00,111,17.84,2.11,113/1
1444,力麗,4.01,111,124.63,0.91,113/1
1445,大宇,10.87,112,3.03,1.12,113/1
1446,宏和,1.16,112,20.00,4.59,113/1
1447,力鵬,0.00,111,-,0.95,113/1
1449,佳和,0.21,112,20.65,0.99,113/1
1451,年興,2.45,112,-,0.60,113/1
1452,宏益,1.74,112,37.50,0.83,113/1
1453,大將,1.02,112,40.69,2.16,113/1
1454,台富,1.48,112,49.71,1.30,113/1
1455,集盛,0.00,112,-,1.25,113/1
1456,怡華,0.99,112,92.05,1.29,113/1
1457,宜進,6.70,112,9.07,0.96,113/1
1459,聯發,0.00,111,100.91,1.25,113/1
1460,宏遠,0.00,111,-,0.94,113/1
1463,強盛,2.49,112,37.22,1.43,113/1
1464,得力,1.68,112,99.33,1.17,113/1
1465,偉全,3.26,112,17.06,0.97,113/1
1466,聚隆,0.00,111,-,1.00,113/1
1467,南緯,0.00,111,-,0.95,113/1
1468,昶和,0.00,111,33.07,1.87,113/1
1470,大統新創,2.78,112,39.43,1.85,113/1
1471,首利,0.00,111,-,1.66,113/1
1472,三洋實業,2.77,112,16.97,2.09,113/1
1473,台南,2.18,112,18.03,2.00,113/1
1474,弘裕,2.82,111,32.27,0.87,113/1
1475,業旺,3.44,112,11.71,2.79,113/1
1476,儒鴻,2.45,112,26.18,6.40,113/1
1477,聚陽,4.12,112,23.16,7.32,113/1
1503,士電,1.23,112,46.29,3.19,113/1
1504,東元,3.73,112,23.23,1.67,113/1
1506,正道,0.00,111,65.00,1.89,113/1
1512,瑞利,0.00,111,-,2.48,113/1
1513,中興電,1.98,112,50.14,4.85,113/1
1514,亞力,1.53,112,35.33,5.51,113/1
1515,力山,2.58,112,13.44,2.20,113/1
1516,川飛,1.31,112,44.72,1.97,113/1
1517,利奇,1.19,112,-,1.01,113/1
1519,華城,0.94,112,65.26,38.17,113/1
1521,大億,1.77,112,54.93,1.67,113/1
1522,堤維西,3.02,112,14.91,2.29,113/1
1524,耿鼎,3.59,112,12.53,2.24,113/1
1525,江申,4.31,112,21.64,1.15,113/1
1526,日馳,1.82,112,-,1.42,113/1
1527,鑽全,4.63,112,13.71,1.23,113/1
1528,恩德,0.78,112,-,1.04,113/1
1529,樂事綠能,1.80,112,68.16,2.88,113/1
1530,亞崴,4.63,112,14.73,0.94,113/1
1531,高林股,1.34,112,51.55,0.74,113/1
1532,勤美,2.87,112,13.32,1.49,113/1
