代號,公司名稱,109季,110季,111季,112季
2330,台積電,517885387,596540013,1016530249,838497664
2317,鴻海,101794807,139320332,141482714,142098208
2454,聯發科,40916800,111421062,118141106,76978637
2382,廣達,25327631,33652524,28957466,39676394
2412,中華電,33406130,35753579,36477157,36916708
2308,台達電,25485231,26796302,32665728,33392665
3711,日月光投控,27592979,63907680,62090494,31725403
2303,聯電,29189489,55780255,87198291,60989633
6505,台塑化,7429609,49401403,14421560,21888842
3034,聯詠,11817239,38865560,27969522,23317509
2357,華碩,26557672,44549798,14690785,15928283
2002,中鋼,885865,62053033,17783775,1681679
3008,大立光,24534131,18671230,22625049,17902322
3231,緯創,8681762,10468030,11162451,11471616
2345,智邦,5048353,4705059,8165812,8920165
2395,研華,7247955,8250224,10757077,10837530
4904,遠傳,8354128,9123795,9607895,11185918
4938,和碩,20207598,20545643,15096180,15712958
1326,台化,19544141,38359347,7359531,8548518
2327,國巨,12979739,22902546,22730465,17468846
6669,緯穎,8609657,8648012,14174709,12043655
1216,統一,21542407,19879062,17168480,18336478
2603,長榮,24364926,239014860,334200661,35337051
1303,南亞,25709049,81295023,32108977,6310050
2615,萬海,11316981,103342908,93072097,5796413
1101,台泥,25099309,20256366,5404984,7997814
6488,環球晶,13103614,11870037,15367386,19772048
2301,光寶科,10016038,13886552,14151016,14570616
1519,華城,457514,289883,838249,2577260
3661,世芯-KY,834917,1489723,1834414,3325170
1590,亞德客-KY,4845297,6442025,6013131,6965808
3443,創意,850007,1460149,3710442,3507885
2408,南亞科,7686041,22849015,14619031,7439634
6415,矽力*-KY,3278478,5733776,6038731,746004
1301,台塑,20036199,71355311,36142868,7337709
8069,元太,3602589,5150045,9911750,7814326
2912,統一超,10238162,8861619,9281650,10613914
3017,奇鋐,1915846,2900627,4162261,5304713
3037,欣興,5461671,13222256,29618505,11980052
2376,技嘉,4374329,13337960,6538521,4742979
2356,英業達,7547985,6537765,6128786,6130732
3533,嘉澤,2732361,3472201,6254263,5593032
2618,長榮航,3361639,6608496,7091299,21594425
1402,遠東新,8062699,9684584,8160292,8229199
5347,世界,6305520,11819588,15280388,7370074
3529,力旺,707999,1101157,1611909,1474443
3653,健策,867481,1196152,2614281,2298194
2353,宏碁,6029287,10897427,5003688,4931944
2377,微星,7959505,16921005,9962520,7532896
1605,華新,6691149,14642629,19352097,5134316
1102,亞泥,14710486,15068221,12016396,10882826
1476,儒鴻,4254534,5148611,6790348,5176467
2385,群光,5466764,6154426,7320081,7463959
3702,大聯大,8123355,11496933,10512466,8109407
6239,力成,6662262,8898398,8686730,8008511
2409,友達,3376324,61330628,21101374,18203274
1503,士電,1526129,1804914,2009900,2348269
2610,華航,140000,9379905,2859503,6818552
4958,臻鼎-KY,8094547,9651297,14197040,6188729
2059,川湖,1164589,2072520,4056145,2704319
3044,健鼎,6125520,5858365,6200335,6061791
9904,寶成,4840184,14439307,12644855,10623608
2344,華邦電,1304019,13594643,12927165,1146522
8454,富邦媒,1943304,3280300,3434626,3628069
6176,瑞儀,5227665,5189975,6726974,5275963
2542,興富發,2645801,8186868,3740998,2437372
2354,鴻準,4718343,4488906,4266446,4260720
1513,中興電,1527368,1957171,2434238,1585695
2368,金像電,2066612,2926854,4567875,3528592
9958,世紀鋼,766996,1259841,369465,1046617
2027,大成鋼,573421,9672917,12025615,5330802
2313,華通,4664701,5140037,8000977,4168375
9941,裕融,3139301,5153626,5803991,6274510
9921,巨大,4948959,5930074,5843875,3401394
3035,智原,268446,1155930,2454597,1589472
2540,愛山林,906148,1132065,444615,1507668
6472,保瑞,578426,749736,1391916,3030142
6121,新普,5050175,6382227,7237486,5673062
2915,潤泰全,7908311,15567663,12168391,7499620
1795,美時,1026796,1403371,3020757,4105626
6285,啟碁,1466920,1232154,3121720,3802830
2352,佳世達,4988479,8307546,8251930,2975733
2049,上銀,1929730,3532230,4479381,2034748
2201,裕隆,2739210,4715516,4696692,4690523
2404,漢唐,4033304,2769475,3999485,4655215
3532,台勝科,1307911,1410770,4821749,3458841
3105,穩懋,6528740,5454962,1802169,79657
1722,台肥,2452881,3034616,2669649,3919051
6592,和潤企業,2585551,3141443,3623387,3689812
2211,長榮鋼,1043649,1278260,2594677,3669814
2206,三陽工業,1938344,1830190,3116035,6297521
6531,愛普*,811710,2025457,1941696,1444970
2388,威盛,4722646,3960944,83635,410602
2492,華新科,6632254,7931941,1650587,1984596
2637,慧洋-KY,111414,8244741,10568984,3270134
1808,潤隆,117248,1671830,156636,7701546
2451,創見,1197735,2533294,2454344,1984835
4919,新唐,532785,2940752,4220773,2420434
2548,華固,2780065,2920173,2957246,3581783
1210,大成,3122071,1869385,2193061,4069204
6147,頎邦,3661089,6137294,6208691,3994638
4915,致伸,1919265,2298282,2742609,2485289
6223,旺矽,714482,693851,1213625,1311899
2006,東和鋼鐵,3562064,5906247,3994004,4729346
3376,新日興,1672971,1169603,1659184,807404
2634,漢翔,395858,558013,1627333,2225899
1907,永豐餘,5209079,5204254,2169510,1826693
2363,矽統,299468,198311,483657,571261
2392,正崴,1967432,921042,1522518,1457132
1609,大亞,850045,1408768,841475,2762030
9933,中鼎,766548,1642175,2379298,1891316
