代號,公司名稱,109季,110季,111季,112季
2330,台積電,259303805,265786399,285234185.0,291721852.0
2317,鴻海,58224561,58744683,79025627.0,80721555.0
2454,聯發科,16588763,58584650,116140659.0,120981171.0
2382,廣達,14685910,20253559,26009039.0,23764557.0
2412,中華電,32782969,33403565,35746314.0,36475514.0
3711,日月光投控,8520982,18082500,29990842.0,37840609.0
2303,聯電,9765694,19871129,37445300.0,45014783.0
6505,台塑化,27625058,5620656,36197781.0,10479310.0
6669,緯穎,4021131,5594905,4371020.0,8742040.0
1216,統一,14205039,15341442,15341442.0,17898349.0
1303,南亞,17460662,19044329,59374150.0,23833140.0
3045,台灣大,14005485,12869217,13429860.0,13966853.0
3034,聯詠,6389371,9492779,31338341.0,22514924.0
2357,華碩,10398644,19311767,31195932.0,11141404.0
2002,中鋼,7915869,4778721,48872707.0,15759055.0
3008,大立光,10597076,12273828,14635600.0,9676444.0
3231,緯創,5681224,6258127,6257467.0,7400801.0
2345,智邦,3449054,3622184,3346320.0,4184543.0
2395,研華,5463198,5480813,6195710.0,7779770.0
4904,遠傳,10674577,10668650,10664586.0,10671112.0
4938,和碩,12553366,13007325,15720440.0,13487770.0
1326,台化,22267479,14657452,28130872.0,
8069,元太,2268726,3062779,3649295.0,5131821.0
2912,統一超,10473302,10653529,10706206.0,10590115.0
3017,奇鋐,459303,989268,1519234.0,1914941.0
3037,欣興,1601196,2054577,5015885.0,12190426.0
1101,台泥,16479137,23014042,7627265.0,4061436.0
6488,環球晶,10880925,7834266,6963792.0,6963792.0
2301,光寶科,7443283,12560540,9144103.0,11519737.0
1590,亞德客-KY,913133,1712016,2675892.0,2687810.0
3443,創意,670060,670060,938083.0,1876167.0
6415,矽力*-KY,683341,971321,1692199.0,1721681.0
3529,力旺,519866,670536,1043820.0,1529693.0
2376,技嘉,1398516,3178444,7619807.0,3941271.0
2356,英業達,4663718,6636829,5022465.0,5381213.0
3533,嘉澤,1086518,1376256,1695646.0,2803575.0
2618,長榮航,1213392,0,3163333.0,4290310.0
1402,遠東新,8028144,7226382,8029313.0,14306261.0
5347,世界,5244743,5736438,7375420.0,7375420.0
5274,信驊,752946,892204,1202427.0,1701931.0
2383,台光電,1923434,2333037,3333150.0,2829806.0
6409,旭隼,1932594,2054731,2054355.0,3817672.0
9910,豐泰,2938937,3262220,3614893.0,6788944.0
2324,仁寶,5228555,6971407,8714259.0,5228555.0
2474,可成,7616181,9139417,7297490.0,6803641.0
3653,健策,605127,733352,784999.0,1661793.0
2353,宏碁,2331283,4501662,6841809.0,4501662.0
2377,微星,3548396,5153623,8870438.0,5575711.0
1605,華新,1662891,3088030,5489781.0,6716022.0
1102,亞泥,10084585,11933944,12054870.0,8155562.0
1476,儒鴻,3018038,3018038,3292406.0,4664241.0
2385,群光,4142372,3893613,4358347.0,5420175.0
1503,士電,833556,833556,937750.0,1041944.0
9945,潤泰新,1003254,1504881,4213667.0,0.0
8299,群聯,2561962,4532702,4532738.0,2836702.0
3036,文曄,1645111,2589627,4701032.0,4082065.0
8046,南電,452316,2196962,6461655.0,11630978.0
1504,東元,1918798,2459616,2887375.0,3208195.0
2360,致茂,1288777,1927668,3039348.0,3403176.0
8454,富邦媒,1190497,1400585,2366989.0,3278331.0
6176,瑞儀,3720218,3720218,3720218.0,4650273.0
2542,興富發,2795749,2584670,6703621.0,1057848.0
2354,鴻準,3536213,2546073,2404625.0,2263176.0
1513,中興電,504000,1047495,1333176.0,1667144.0
9958,世紀鋼,210557,689969,694645.0,116626.0
2027,大成鋼,2090438,2140137,3184023.0,4287813.0
9941,裕融,1626524,1860808,2301806.0,2990964.0
3035,智原,273405,248550,820216.0,1242752.0
6472,保瑞,83254,109766,238802.0,619134.0
6121,新普,2682073,3532937,4809233.0,5105186.0
2915,潤泰全,2746894,1098758,3570962.0,2168385.0
6285,啟碁,975581,993836,832551.0,2024042.0
2352,佳世達,1475086,2950173,4916955.0,3933564.0
2049,上銀,557242,661733,1533565.0,1945857.0
2201,裕隆,1214015,2148097,2913032.0,2995114.0
3324,雙鴻,432727,482131,516565.0,577375.0
4763,材料-KY,237649,274960,314103.0,997472.0
4966,譜瑞-KY,1216887,1752708,2622127.0,2439014.0
9914,美利達,1246476,2092887,2395019.0,2094202.0
2204,中華,0,3875342,3044912.0,2214481.0
3023,信邦,1233720,1467504,1640858.0,2030999.0
1319,東陽,1064658,473182,502756.0,1478693.0
3005,神基,1632879,2123911,2154075.0,2294771.0
5522,遠雄,3603894,3517183,5080376.0,3126385.0
2404,漢唐,2477627,3239974,2462131.0,2813801.0
1722,台肥,2156000,2254000,2744000.0,2450000.0
6592,和潤企業,1596502,1802501,2163002.0,
2211,長榮鋼,788073,872378,1251274.0,2085457.0
2206,三陽工業,811180,1044001,1036931.0,1435481.0
6531,愛普*,73682,370373,968275.0,1132442.0
2492,華新科,2671900,2914858,2186104.0,1165922.0
2504,國產,413643,1770000,2124000.0,2360000.0
6412,群電,1241072,1568589,2056020.0,2354337.0
3706,神達,1070961,1196009,2395106.0,1562129.0
5434,崇越,1181047,1453597,1598956.0,1816996.0
2637,慧洋-KY,1033735,1119613,4105251.0,4851660.0
1808,潤隆,616661,74000,784393.0,270616.0
2451,創見,1930778,1308638,2574370.0,2402745.0
4919,新唐,345065,311733,2098826.0,2938357.0
2548,華固,2076095,1937689,2076095.0,2076095.0
1210,大成,1720349,2111337,1208154.0,1268561.0
6147,頎邦,2747900,2551788,4432052.0,4062715.0
4915,致伸,1076876,1354873,1411230.0,1791794.0
2006,東和鋼鐵,1355482,1634807,4673368.0,2555748.0
3376,新日興,727018,1344184,962426.0,1126490.0
2634,漢翔,1120822,188373,329653.0,1017216.0
1907,永豐餘,1162260,2490557,2490557.0,
6414,樺漢,331678,480785,742259.0,1604720.0
8996,高力,178768,151953,134076.0,134076.0
8112,至上,1016716,1135489,1713986.0,1922948.0
2363,矽統,192262,504774,545156.0,749589.0
2606,裕民,1605609,1014081,2535170.0,2535220.0
6274,台燿,1221000,1287000,1347000.0,1076608.0
2392,正崴,1212061,1280818,768490.0,1127119.0
1609,大亞,176117,205811,223513.0,339205.0
9933,中鼎,2041924,2066848,2405179.0,2267317.0
6605,帝寶,248725,232143,497449.0,829082.0
3131,弘塑,228172,313736,484865.0,517680.0
3042,晶技,774393,1177077,2323178.0,2168299.0
8210,勤誠,550739,483644,362309.0,482528.0
3264,欣銓,616211,947881,1326974.0,1658717.0
6491,晶碩,175000,350000,595000.0,707500.0
3596,智易,979876,1354449,1478345.0,1432299.0
2362,藍天,248906,373358,1228952.0,877824.0
6278,台表科,818714,964914,1754390.0,2046788.0
8016,矽創,780890,899368,3830363.0,2629679.0
2329,華泰,82849,0,733916.0,625165.0
3010,華立,763587,1018117,1604922.0,1439709.0
3260,威剛,311159,808194,1421581.0,526931.0
6191,精成科,257773,412438,825287.0,1233188.0
3702,大聯大,4144804,5605076,6276699.0,6864369.0
6239,力成,3484785,3856288,5086309.0,5231426.0
4958,臻鼎-KY,4060034,4261721,4735246.0,5682295.0
2059,川湖,762377,583218,1036832.0,1905941.0
3044,健鼎,3810642,3863203,3679241.0,3915764.0
6781,AES-KY,145231,452677,1281282.0,1622920.0
6005,群益證,1910332,2650236,3728193.0,1122599.0
2501,國建,1159561,1159561,695737.0,579781.0
3293,鈊象,1761260,2958916,3522519.0,4931527.0
8070,長華*,804887,867449,1378839.0,1666711.0
