代號,公司名稱,2023 第一季,2023 第二季,2023 第三季,2023 第四季,2024 第一季
,來億-KY,,,,1293778.0,94513.0
,力積電,186446.0,802276.0,469049.0,-0.4,-439771.0
,北極星藥業-KY,0.0,-960.0,-8952.0,-1576694.0,-11933.0
,富世達,86573.0,4.21,459582.0,10.18,3.27
,洋基工程,393956.0,10.16,15.92,-1034.0,402661.0
,達發,-4630.0,316630.0,801313.0,-60341.0,2870.0
,采鈺,0.0,726051.0,0.0,0.0,0.0
,鑽石投資,0.0,0.0,0.0,0.0,0.0
,長榮航太,0.83,17261.0,36329.0,1760995.0,1.36
,鴻華先進-創,0.0,-897755.0,-1449120.0,-1928493.0,665.0
1101.0,台泥,2506413.0,1142361.0,10430034.0,-840826.0,1497869.0
1102.0,亞泥,2687792.0,6851572.0,9557190.0,13781281.0,2948055.0
1210.0,大成,761814.0,1836687.0,3115566.0,-347085.0,845999.0
1216.0,統一,68552.0,-5547.0,-34211.0,21025.0,-30256.0
1227.0,佳格,33435.0,-132233.0,-95537.0,-21719.0,249627.0
1229.0,聯華,1150163.0,1954463.0,5876108.0,-80507.0,5370610.0
1301.0,台塑,-1444085.0,-301874.0,5805896.0,-677897.0,6216780.0
1303.0,南亞,0.0,5567.0,0.0,7919.0,8743289.0
1314.0,中石化,19288.0,359938.0,640968.0,-205314.0,329216.0
1319.0,東陽,490406.0,1248353.0,2222663.0,-53557.0,1172110.0
1326.0,台化,13554750.0,8943874.0,14069520.0,10367021.0,-8369723.0
1402.0,遠東新,202040.0,414648.0,554842.0,740275.0,1264574.0
1434.0,福懋,81603.0,547746.0,597856.0,665729.0,179316.0
1476.0,儒鴻,3.01,8.09,13.77,5176467.0,5.19
1477.0,聚陽,5186.0,26354.0,34466.0,3991194.0,5794.0
1503.0,士電,1095651.0,1882076.0,2752626.0,43762.0,1541470.0
1504.0,東元,-45336.0,1140377.0,-3463881.0,-2657964.0,875698.0
1513.0,中興電,1454306.0,1769758.0,1823884.0,1220975.0,2773207.0
1514.0,亞力,-16522.0,7723.0,-968.0,-131856.0,45421.0
1519.0,華城,202854.0,15227.0,-25508.0,-16185.0,8393.0
1560.0,中砂,1798.0,-23929.0,-59761.0,10040.0,-18028.0
1590.0,亞德客-KY,1622682.0,3326820.0,-3.0,6965808.0,1829263.0
1605.0,華新,-138585.0,-384906.0,2703124.0,-821116.0,3124684.0
1609.0,大亞,59134.0,126675.0,181187.0,-10981.0,167207.0
1717.0,長興,106097.0,-761458.0,478436.0,-591376.0,65300.0
1722.0,台肥,124635.0,897307.0,3709285.0,1594812.0,253332.0
1773.0,勝一,0.0,-27197.0,0.0,-9904.0,15980.0
1795.0,美時,1193923.0,2450876.0,36207.0,4264881.0,1036296.0
1802.0,台玻,219233.0,-924046.0,843836.0,0.0,291316.0
1808.0,潤隆,866977.0,2243128.0,44759.0,7756659.0,338500.0
1907.0,永豐餘,-367538.0,648057.0,407899.0,447034.0,2858014.0
2002.0,中鋼,-588.0,0.0,1630.0,-121107.0,2410.0
2006.0,東和鋼鐵,1218111.0,2407279.0,87232.0,-122960.0,111325.0
2015.0,豐興,191055.0,166937.0,7173.0,103330.0,-37951.0
2027.0,大成鋼,0.0,425889.0,451807.0,161330.0,2807869.0
2049.0,上銀,245414.0,1070817.0,1702094.0,157015.0,573779.0
2059.0,川湖,4.8,12.3,22.61,2703783.0,14.55
2101.0,南港,32529.0,-82656.0,87896.0,-88020.0,194718.0
2105.0,正新,1870551.0,-386946.0,5945758.0,-263913.0,3387394.0
2201.0,裕隆,596553.0,1205530.0,1805487.0,2297646.0,458494.0
2204.0,中華,7847.0,-85454.0,-33592.0,-150544.0,105631.0
2206.0,三陽工業,0.0,0.0,0.0,-762.0,0.0
2207.0,和泰車,502856.0,0.0,11173422.0,195695955.0,512516.0
2211.0,長榮鋼,0.0,302427.0,496870.0,1100558.0,109677.0
2227.0,裕日車,66770.0,-369680.0,245228.0,-3502.0,639675.0
2301.0,光寶科,441.0,264.0,11140917.0,77852.0,1401.0
2303.0,聯電,6968.0,-78908.0,169593.0,-2386278.0,237993.0
2308.0,台達電,-55278.0,-56399.0,-2307.0,-2307.0,402675.0
2313.0,華通,0.0,467185.0,0.0,-414778.0,894984.0
2317.0,鴻海,-14975.0,0.0,-37462.0,-3218901.0,0.0
2324.0,仁寶,35914.0,-149811.0,96653.0,-103664.0,380042.0
2327.0,國巨,-21916.0,-16060.0,6024.0,-103803.0,0.0
2329.0,華泰,216943.0,0.0,35447.0,11374.0,499349.0
2330.0,台積電,1351881.0,401176.0,-1455025.0,-14464353.0,-558289.0
2337.0,旺宏,-2705.0,219916.0,52.0,-1699593.0,-522085.0
2344.0,華邦電,1175956.0,-328002.5,-2650064.0,-621874.0,-1146809.0
2345.0,智邦,69302.0,-18501.0,225829.0,-94147.0,2880345.0
2347.0,聯強,850540.0,0.0,4113477.0,-1260312.0,2196482.0
2352.0,佳世達,-15793.0,-3047.0,127190.0,-76241.0,117776.0
2353.0,宏碁,-218085.0,689.0,0.0,-568.0,2105048.0
2354.0,鴻準,765218.0,-864167.0,3451151.0,-884684.0,88170.5
2356.0,英業達,0.0,0.0,0.0,-5500.0,0.0
2357.0,華碩,-140941.0,14356201.0,612055.0,26153.0,946358.0
2360.0,致茂,-28247.0,51278.0,192353.0,-42.0,324778.0
2362.0,藍天,254105.0,604657.0,852162.0,-792838.0,830492.0
2363.0,矽統,-88916.0,774043.0,684321.0,477.0,-210824.0
2368.0,金像電,430336.0,-165430.0,121410.0,-165579.0,306299.0
2371.0,大同,28384.0,1005213.0,284126.0,-49127.0,1241.0
2376.0,技嘉,1024712.0,1914238.0,3393030.0,120095.0,2023776.0
2377.0,微星,40891.0,4443615.0,6793311.0,7357386.0,2.95
2379.0,瑞昱,0.0,4400380.0,6972304.0,9152772.0,3129508.0
2382.0,廣達,449086.0,2593178.0,6194464.0,-407.0,5440114.0
2383.0,台光電,0.0,0.0,0.0,5176656.0,0.0
2385.0,群光,1842197.0,3481385.0,7510567.0,139749.0,3265995.0
2388.0,威盛,-79518.0,106510.0,636628.0,-108165.0,433497.0
2392.0,正崴,126799.0,-714666.0,161925.0,-816097.0,736107.0
2395.0,研華,-22353.0,-12478.0,89255.0,-5580.0,440761.0
2404.0,漢唐,-136903.0,0.0,86317.0,0.0,-19811.0
2408.0,南亞科,-2056859.0,-1724932.0,-2350348.0,1883.0,-1208488.0
2409.0,友達,0.0,738363.0,342324.0,1725.0,-292456.0
2412.0,中華電,-820.0,2120.0,6254.0,738355.0,25632.0
2441.0,超豐,-111.0,-186.0,-344.0,2728890.0,-106.0
2449.0,京元電子,706179.0,548953.0,250267.0,-188633.0,686238.0
2451.0,創見,60499.0,92778.0,65097.0,-36833.0,933686.0
2454.0,聯發科,24079.0,-358122.0,-383132.0,15216.0,-135530.0
2458.0,義隆,-517.0,60354.0,10274.0,-1162.0,52.0
2474.0,可成,1424518.0,1698515.0,227838.0,-744256.0,8554780.0
2492.0,華新科,-73356.0,-689839.0,533738.0,-115783.0,-10152.0
2498.0,宏達電,0.0,1039569.0,1286925.0,-2889624.0,1285861.0
2501.0,國建,55081.0,23205.0,39592.0,2433221.0,151413.0
2504.0,國產,71586.0,24057.0,176135.0,10311.0,825943.0
2530.0,華建,-0.01,-0.03,-0.06,0.61,0.23
2539.0,櫻花建,0.0,0.6,1.21,2.24,401283.0
2540.0,愛山林,0.52,1.59,1.88,1507668.0,1.53
2542.0,興富發,1030385.0,1567653.0,2460840.0,6397567.0,593684.0
2548.0,華固,1185226.0,-7371.0,-4132.0,3581783.0,-218.0
2597.0,潤弘,-306744.0,287815.0,754065.0,135824.0,104678.0
2603.0,長榮,-3738254.0,4137389.0,0.0,839674.0,15021877.0
2606.0,裕民,-410348.0,703413.0,2572710.0,-3042.0,2162423.0
2607.0,榮運,508283.0,2325952.0,3292121.0,626641.0,1626481.0
2609.0,陽明,119234.0,-208682.0,-597462.0,396833.0,-469349.0
2610.0,華航,1305854.0,4600281.0,6897568.0,-902960.0,3099290.0
2615.0,萬海,-3564080.0,-2041107.0,6846184.0,-7893.0,7122299.0
2618.0,長榮航,5309709.0,10966391.0,15612367.0,285517.0,
2633.0,台灣高鐵,0.0,0.0,0.0,0.0,0.0
2634.0,漢翔,543667.0,1297389.0,1957049.0,2276886.0,804157.0
2637.0,慧洋-KY,-0.18,1.87,2.46,3270134.0,1.99
2801.0,彰銀,-1765.0,-513.0,6114.0,2998516.0,-1428.0
2809.0,京城銀,2064194.0,0.0,-3795.0,3284387.0,119435.0
2812.0,台中銀,370094.0,308954.0,-81801.0,-53275.0,-252699.0
2834.0,臺企銀,-186371.0,662829.0,0.0,4367193.0,-999879.0
2838.0,聯邦銀,-32015.0,9031.0,123123.0,0.0,2140121.0
2845.0,遠東銀,1055.0,-6165.0,179.0,169434.0,3760.0
2855.0,統一證,77233.0,154382.0,2378679.0,3149201.0,1206377.0
2867.0,三商壽,7289.0,15640.0,23222.0,30878.0,7007.0
2880.0,華南金,-387453.0,1604391.0,1536651.0,-200616.0,3680616.0
2881.0,富邦金,190.0,1913.0,-4279.0,-430379.0,-599.0
2882.0,國泰金,-2723.0,-2723.0,-2723.0,126200.0,37562429.0
2883.0,開發金,244479.0,202363.0,-83919.0,-101514.0,2041657.0
2884.0,玉山金,160631.0,154390.0,182250.0,4092690.0,236160.0
2885.0,元大金,-192580.0,-93982.0,-21682.0,-700604.0,-251547.0
2886.0,兆豐金,1797056.0,6428353.0,8335185.0,-1244307.0,5648611.0
2887.0,台新金,-61058.0,-98619.0,-82218.0,1081360.0,-66141.0
2888.0,新光金,116236.0,144725.0,1015849.0,-78261.0,134598.0
2889.0,國票金,43741.0,55633.0,73595.0,-22625.0,-33667.0
2890.0,永豐金,-2442.0,-300200.0,4648482.0,-103173.0,530336.0
2891.0,中信金,15.0,-8925.0,-8136.0,-126177.0,25.0
2892.0,第一金,0.0,4513896.0,3327599.0,-274576.0,0.0
2903.0,遠百,788174.0,2574090.0,3050534.0,8253.0,578947.0
2912.0,統一超,-84585.0,439407.0,1412432.0,-52590.0,1338895.0
2915.0,潤泰全,7006572.0,8446734.0,-1222356.0,25780.0,2142281.0
2923.0,鼎固-KY,1021649.0,5.0,-253.0,-352.0,1524834.0
3005.0,神基,730789.0,1777378.0,3734809.0,-51105.0,883608.0
3008.0,大立光,-39097.0,569272.0,1909329.0,2170731.0,7919586.0
3010.0,華立,-60963.0,-268076.0,130697.0,-18349.0,385850.0
3017.0,奇鋐,57032.0,-435748.0,1083.0,-429724.0,141454.0
3023.0,信邦,5979.0,-220950.0,45943.0,-4365.0,243578.0
3030.0,德律,1.15,2.02,3.06,1001254.0,1.93
3034.0,聯詠,5375603.0,12161375.0,0.0,23317509.0,4881519.0
3035.0,智原,-24118.0,-50381.0,-63019.0,583114.0,336649.0
3036.0,文曄,4095454.0,4496926.0,7868132.0,-116.0,6644743.0
3037.0,欣興,4452972.0,5900886.0,10181690.0,-455654.0,1674934.0
3042.0,晶技,61839.0,-176623.0,-2513.0,-127850.0,312809.0
3044.0,健鼎,-256988.0,-709595.0,688328.0,-957670.0,1399123.0
3045.0,台灣大,409.0,-20939.0,-3071.0,-4844.0,12556.0
3105.0,穩懋,0.0,0.0,0.0,-86673.0,0.0
3131.0,弘塑,92.0,269559.0,428166.0,739016.0,171908.0
3189.0,景碩,231102.0,398705.0,706231.0,-98057.0,24501.0
3231.0,緯創,2106621.0,9304186.0,19381864.0,11471616.0,11315114.0
3260.0,威剛,16339.0,17285.0,73038.0,10965.0,1059695.0
3264.0,欣銓,618353.0,1294952.0,2146422.0,-5376.0,546962.0
3293.0,鈊象,334.0,241.0,141.0,6463913.0,-138.0
3324.0,雙鴻,292241.0,435442.0,1022051.0,1256688.0,528345.0
3362.0,先進光,-267.0,-508.0,-803.0,388014.0,160862.0
3374.0,精材,0.0,0.0,0.0,5.03,0.0
