代號,名稱,發行量(股),股價,日期
2330,台積電,25940000,966.0,2024-06-28
2317,鴻海,13860000,214.0,2024-06-28
2454,聯發科,1599000,1400.0,2024-06-28
2382,廣達,3863000,312.0,2024-06-28
2881,富邦金,13020000,79.3,2024-06-28
2412,中華電,7757000,125.5,2024-06-28
2308,台達電,2598000,387.5,2024-06-28
2882,國泰金,14670000,59.0,2024-06-28
2891,中信金,19620000,37.85,2024-06-28
3711,日月光投控,4395000,168.5,2024-06-28
2303,聯電,12530000,55.7,2024-06-28
6505,台塑化,9526000,64.8,2024-06-28
2886,兆豐金,14400000,40.4,2024-06-28
6669,緯穎,174800,2645.0,2024-06-28
1216,統一,5682000,81.3,2024-06-28
2884,玉山金,15660000,28.55,2024-06-28
2885,元大金,12690000,32.05,2024-06-28
1303,南亞,7931000,49.3,2024-06-28
3045,台灣大,3723000,107.0,2024-06-28
1301,台塑,6366000,57.5,2024-06-28
5880,合庫金,14710000,26.0,2024-06-28
2892,第一金,13620000,28.1,2024-06-28
3034,聯詠,608500,606.0,2024-06-28
2357,華碩,742800,498.0,2024-06-28
2002,中鋼,15730000,23.1,2024-06-28
2207,和泰車,557100,622.0,2024-06-28
2880,華南金,13640000,26.4,2024-06-28
3008,大立光,133500,2745.0,2024-06-28
3231,緯創,2897000,106.0,2024-06-28
2345,智邦,560600,555.0,2024-06-28
2395,研華,860400,370.0,2024-06-28
4904,遠傳,3606000,84.1,2024-06-28
4938,和碩,2664000,104.5,2024-06-28
1326,台化,5861000,50.4,2024-06-28
2890,永豐金,12390000,25.4,2024-06-28
2327,國巨,423200,730.0,2024-06-28
2379,瑞昱,512900,546.0,2024-06-28
8069,元太,1144000,252.0,2024-06-28
2912,統一超,1040000,273.5,2024-06-28
3017,奇鋐,383300,765.0,2024-06-28
3037,欣興,1525000,180.0,2024-06-28
2615,萬海,2806000,88.6,2024-06-28
1101,台泥,7551000,34.2,2024-06-28
2883,開發金,16830000,15.1,2024-06-28
6488,環球晶,478100,539.0,2024-06-28
2301,光寶科,2348000,106.0,2024-06-28
1519,華城,261100,945.0,2024-06-28
2887,台新金,12480000,18.85,2024-06-28
3661,世芯-KY,79200,2455.0,2024-06-28
1590,亞德客-KY,200000,988.0,2024-06-28
3443,創意,134000,1605.0,2024-06-28
2408,南亞科,3099000,69.7,2024-06-28
6415,矽力*-KY,385000,462.0,2024-06-28
3529,力旺,74700,2570.0,2024-06-28
2376,技嘉,635700,305.5,2024-06-28
2356,英業達,3588000,55.8,2024-06-28
3533,嘉澤,111900,1630.0,2024-06-28
2618,長榮航,5400000,38.15,2024-06-28
1402,遠東新,5353000,35.25,2024-06-28
5347,世界,1639000,129.5,2024-06-28
