代號,名稱,發行量(萬張),市值(億),掛牌年數
2330,台積電,2594,239121,29.8
2317,鴻海,1386,27449,33
2454,聯發科,159.9,22311,22.9
2382,廣達,386.3,11221,25.4
2881,富邦金,1302,10009,22.5
2412,中華電,775.7,9930,23.6
2308,台達電,259.8,9182,35.5
2882,國泰金,1467,8537,22.5
2891,中信金,1962,7319,22.1
3711,日月光投控,439.5,7296,6.13
2303,聯電,1253,7054,38.9
6505,台塑化,952.6,6278,20.5
2886,兆豐金,1440,5696,22.4
6669,緯穎,17.48,4834,5.22
1216,統一,568.2,4642,36.5
2884,玉山金,1566,4503,22.4
2603,長榮,215,4279,36.7
2885,元大金,1269,4061,22.4
1303,南亞,793.1,4021,56.6
3045,台灣大,372.3,4003,23.7
1301,台塑,636.6,3883,59.9
5880,合庫金,1471,3817,12.5
2892,第一金,1362,3807,21.5
3034,聯詠,60.85,3736,23.1
2357,華碩,74.28,3666,27.6
2002,中鋼,1573,3658,49.5
2207,和泰車,55.71,3538,27.3
2880,華南金,1364,3486,22.5
3008,大立光,13.35,3363,22.3
3231,緯創,289.7,3143,20.8
2345,智邦,56.06,3117,28.6
2395,研華,86.04,3111,24.5
4904,遠傳,360.6,3090,22.5
4938,和碩,266.4,3077,14
1326,台化,586.1,3054,39.5
2890,永豐金,1239,2985,22.1
2327,國巨,42.32,2945,30.6
2379,瑞昱,51.29,2918,25.6
8069,元太,114.4,2861,20.2
2912,統一超,104,2833,26.8
3017,奇鋐,38.33,2833,21.7
3037,欣興,152.5,2783,25.5
2609,陽明,349.2,2633,32.2
2615,萬海,280.6,2604,28.1
1101,台泥,755.1,2567,62.3
2883,開發金,1683,2567,22.5
6488,環球晶,47.81,2553,8.72
5871,中租-KY,161.5,2527,12.5
2301,光寶科,234.8,2524,28.6
1519,華城,26.11,2402,27.2
2887,台新金,1248,2339,22.3
5876,上海商銀,486.2,2205,5.66
3661,世芯-KY,7.92,2106,9.63
1590,亞德客-KY,20,2100,13.5
3443,創意,13.4,2097,17.6
2408,南亞科,309.9,2051,23.8
6415,矽力*-KY,38.5,2025,10.5
3529,力旺,7.47,2019,13.4
2376,技嘉,63.57,2002,25.7
2356,英業達,358.8,1987,27.6
2801,彰銀,1086,1971,62.3
3533,嘉澤,11.19,1958,16.5
2618,長榮航,540,1952,24.6
1402,遠東新,535.3,1903,57.2
5347,世界,163.9,1803,26.2
5274,信驊,3.78,1793,11.1
2633,台灣高鐵,562.8,1688,7.63
3293,鈊象,14.09,1656,17.9
5269,祥碩,7.47,1650,11.5
6446,藥華藥,34.09,1643,7.91
2105,正新,324.1,1600,36.5
2383,台光電,34.43,1591,27.5
6409,旭隼,8.77,1584,10.2
9910,豐泰,98.75,1580,32.3
2324,仁寶,440.7,1576,32.3
2474,可成,68.04,1568,22.7
3653,健策,14.29,1543,14.6
2353,宏碁,304.8,1518,27.7
2377,微星,84.49,1517,25.6
1605,華新,403.1,1502,51.6
1102,亞泥,354.7,1482,62
1476,儒鴻,27.44,1468,23.2
2385,群光,76.01,1463,25.4
2888,新光金,1549,1460,22.3
3702,大聯大,167.9,1447,18.6
6239,力成,75.91,1446,21.2
2834,臺企銀,822.2,1410,26.4
2409,友達,769.9,1409,23.8
1503,士電,52.1,1404,54.5
2610,華航,605.2,1392,31.3
2347,聯強,166.8,1381,28.5
2371,大同,234,1348,62.3
9945,潤泰新,284.4,1294,32.1
8299,群聯,20.48,1290,19.5
3036,文曄,111.6,1278,23.7
8046,南電,64.62,1254,18.2
1504,東元,213.9,1238,50.6
3481,群創,907.9,1235,17.6
5483,中美晶,58.62,1234,23.3
2360,致茂,42.54,1204,27.5
2449,京元電子,122.3,1173,23.1
4958,臻鼎-KY,94.7,1146,12.5
2059,川湖,9.53,1139,19.1
3044,健鼎,52.56,1117,23.5
9904,寶成,294.7,1087,34.4
1229,聯華,158.4,1061,47.9
8464,億豐,29.3,1061,8.48
2344,華邦電,418,1030,28.7
8454,富邦媒,24.03,1021,9.49
6176,瑞儀,46.5,1018,22.1
2542,興富發,188.4,972,25.1
2354,鴻準,141.4,972,27.7
2812,台中銀,522.6,964,40.1
1513,中興電,50.31,961,30.3
2368,金像電,49.18,944,26.3
1477,聚陽,24.19,928,21.4
9958,世紀鋼,25.69,912,16.3
2027,大成鋼,243.4,896,27.6
2313,華通,119.2,856,33.9
