"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"1",="2330","台積電","市","06/14","922","+3","+0.33","10","2,594","2,594","239,121","37.3","29.8","有","有","有","有","","","半導體業","魏哲家","總裁: 魏哲家"
"2",="2317","鴻海","市","06/14","198","+6","+3.12","10","1,386","1,386","27,449","50.3","33","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
"3",="2454","聯發科","市","06/14","1395","+10","+0.72","10","160","159.9","22,311","27","22.9","有","有","有","","","","半導體業","蔡明介","陳冠州"
"4",="2382","廣達","市","06/14","290.5","+6.5","+2.29","10","386","386.3","11,221","36.1","25.4","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
"5",="2881","富邦金","市","06/14","76.9","+0.7","+0.92","10","1,461","1,302","10,009","22.5","22.5","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"6",="2412","中華電","市","06/14","128","+1.5","+1.19","10","776","775.7","9,930","28","23.6","有","有","有","","","","通信網路業","郭水義","林昭陽"
"7",="2308","台達電","市","06/14","353.5","0","0","10","260","259.8","9,182","48.8","35.5","有","","有","有","","","電子零組件業","鄭平","張訓海"
"8",="2882","國泰金","市","06/14","58.2","+0.1","+0.17","10","1,620","1,467","8,537","22.5","22.5","有","有","有","","","有","金控業","蔡宏圖","李長庚"
"9",="2891","中信金","市","06/14","37.3","+0.2","+0.54","10","2,012","1,962","7,319","22.1","22.1","有","有","有","有","","有","金控業","顏文隆","陳佳文"
"10",="3711","日月光投控","市","06/14","166","+2","+1.22","10","439","439.5","7,296","6.1","6.13","有","有","有","有","","","半導體業","張虔生","張洪本"
"11",="2303","聯電","市","06/14","56.3","-0.1","-0.18","10","1,253","1,253","7,054","44.1","38.9","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
"12",="6505","台塑化","市","06/14","65.9","0","0","10","953","952.6","6,278","32.2","20.5","","","","有","","","油電燃氣業","陳?郎","曹明"
"13",="2886","兆豐金","市","06/14","39.55","+0.1","+0.25","10","1,440","1,440","5,696","22.4","22.4","有","有","有","有","","","金控業","雷仲達","蕭玉美"
"14",="6669","緯穎","市","06/14","2765","+50","+1.84","10","17.5","17.48","4,834","12.3","5.22","有","","有","有","","","電腦及週邊設備業","洪麗寗","林威遠"
