代號,公司名稱,109股利發放率,110股利發放率,111股利發放率
2330,台積電,51.3,47.8,28.7
2317,鴻海,57.7,56.7,57.1
2454,聯發科,143.2,104.2,102.4
2382,廣達,80.0,77.3,82.1
2412,中華電,100.0,100.0,100.0
3711,日月光投控,71.0,111.9,115.8
2303,聯電,72.0,58.6,72.5
6505,台塑化,19.3,64.9,12.0
6669,緯穎,75.3,8.8,60.6
1216,統一,129.8,39.5,64.0
1303,南亞,71.7,133.3,162.2
3045,台灣大,1452.7,21.6,78.5
3034,聯詠,38.7,167.8,99.5
2357,華碩,222.4,298.0,99.8
2002,中鋼,94.7,1038.7,193.0
2207,和泰車,150.9,156.6,27.6
3008,大立光,146.9,160.4,100.7
3231,緯創,31.0,30.5,49.0
2345,智邦,18.5,8.7,56.9
2395,研華,42.2,27.1,34.2
4904,遠傳,123.9,123.3,75.3
4938,和碩,60.4,79.1,78.6
1326,台化,60.2,11.8,
8069,元太,11.9,4.5,16.0
2912,統一超,42.4,52.9,195.9
3017,奇鋐,7.5,12.8,12.5
3037,欣興,20.5,36.1,86.1
2615,萬海,484.9,8838.5,1673.8
1101,台泥,2756.4,512.0,221.4
6488,環球晶,161.7,108.1,115.8
2301,光寶科,1477.7,626.2,310.5
1590,亞德客-KY,52.2,46.7,44.5
3443,創意,3.3,1.3,5.2
2408,南亞科,111.0,222.7,66.6
6415,矽力*-KY,9.5,19.1,18.5
3529,力旺,35.0,36.0,36.8
2376,技嘉,58.2,57.6,13.3
2356,英業達,151.7,37.7,82.3
3533,嘉澤,18.2,25.9,45.7
2618,長榮航,0.0,91.1,68.6
1402,遠東新,215.0,121.5,201.7
5347,世界,71.1,76.2,90.4
5274,信驊,14.1,10.2,11.1
2383,台光電,329.5,302.7,175.6
6409,旭隼,236.9,171.7,146.0
9910,豐泰,54.1,33.2,135.7
2324,仁寶,87.6,51.5,52.5
2474,可成,136.6,49.8,35.2
3653,健策,5.0,5.2,13.8
2353,宏碁,105.8,132.9,66.3
2377,微星,94.3,144.1,76.2
1605,華新,38.0,47.7,63.9
1102,亞泥,179.1,135.5,93.9
1476,儒鴻,197.8,182.4,232.1
2385,群光,2781.2,46.5,189.5
1503,士電,10.3,9.7,7.3
2347,聯強,472.6,402.4,143.9
9945,潤泰新,24.6,71.9,0.0
8299,群聯,93.6,31.4,22.4
3036,文曄,133.3,143.3,118.9
8046,南電,42.0,124.5,172.9
1504,東元,93.0,35.3,85.8
3481,群創,66.6,247.0,0.0
5483,中美晶,345.4,436.9,359.1
2360,致茂,93.3,103.8,74.5
2449,京元電子,318.8,291.2,1158.3
1229,聯華,377.9,26.1,15.9
8464,億豐,62.8,62.7,40.3
2344,華邦電,25.4,77.2,68.6
8454,富邦媒,28.3,39.9,56.1
6176,瑞儀,1385.8,321.8,189.5
2542,興富發,285.2,592.2,237.9
2354,鴻準,440.2,320.7,162.6
1513,中興電,20.7,20.9,23.0
1477,聚陽,24.5,14.8,28.8
9958,世紀鋼,67.2,49.5,3.9
2027,大成鋼,145.9,258.4,137.4
9941,裕融,37.3,27.7,36.2
3035,智原,12.9,23.2,27.7
6472,保瑞,4.0,5.1,13.2
6121,新普,87.6,173.7,127.6
2915,潤泰全,84.0,253.1,45.0
6285,啟碁,40.5,27.4,75.8
2352,佳世達,114.1,156.5,108.6
2049,上銀,63.4,120.0,75.0
2201,裕隆,110.8,159.2,96.1
3324,雙鴻,59.4,25.5,29.7
4763,材料-KY,5.8,7.9,1192.6
4966,譜瑞-KY,26.4,33.1,147.8
9914,美利達,1878.5,29.0,19.8
2204,中華,3305.3,182.1,1413.8
3023,信邦,122.5,64.8,82.8
1319,東陽,88.8,17.1,35.0
3005,神基,76.4,73.8,77.6
5522,遠雄,112.7,271.8,142.6
2404,漢唐,88.5,40.1,45.3
3105,穩懋,220.9,147.6,38.6
1722,台肥,315.5,395.5,201.9
6592,和潤企業,50.6,36.6,
2539,櫻花建,6.7,11.0,8.9
2211,長榮鋼,220.4,224.2,128.2
2206,三陽工業,20.0,19.9,66.2
6531,愛普*,123.7,488.3,234.1
