"id","季度","營業利益損失","母公司業主淨利損","公司名稱"
10,"2023 第一季","1,024,601","-174,865","潤泰新"
11,"2023 第二季","2,345,901","226,803","潤泰新"
12,"2023 第三季","3,188,768","594,429","潤泰新"
13,"2023 第四季","5,016,398","1,283,544","潤泰新"
14,"2024 第一季","1,266,747","1,397,234","潤泰新"
15,"2023 第一季","1,966,700","55,162","裕融"
16,"2023 第二季","4,043,312","-200,895","裕融"
17,"2023 第三季","6,245,889","241,911","裕融"
18,"2023 第四季","8,503,979","603","裕融"
19,"2024 第一季","2,331,066","1,804,874","裕融"
47,"2023 第一季","73,134","47,789","世紀鋼"
48,"2023 第二季","375,481","278,633","世紀鋼"
49,"2023 第三季","917,868","590,396","世紀鋼"
50,"2023 第四季","1,956,074","1,046,617","世紀鋼"
51,"2024 第一季","1,060,381","650,760","世紀鋼"
52,"2023 第一季","517,159","41,144","宏全"
53,"2023 第二季","1,132,099","67,975","宏全"
54,"2023 第三季","1,755,265","89,056","宏全"
55,"2023 第四季","3,181,838","85,806","宏全"
56,"2024 第一季","584,707","27,744","宏全"
57,"2023 第一季","41,845","298,855","中鼎"
58,"2023 第二季","126,986","726,051","中鼎"
59,"2023 第三季","2,569,439","1,294,301","中鼎"
60,"2023 第四季","3,278,959","2,585,089","中鼎"
61,"2024 第一季","929,163","289,901","中鼎"
62,"2023 第一季","2,714,807","1,006,770","巨大"
63,"2023 第二季","5,815,481","1,955,477","巨大"
64,"2023 第三季","4,431,737","3,120,405","巨大"
65,"2023 第四季","12,263,973","-351","巨大"
66,"2024 第一季","2,693,622","1,136,562","巨大"
67,"2023 第一季","2,400","10,566","中保科"
68,"2023 第二季","6,900","90,374","中保科"
69,"2023 第三季","13,235","26,015","中保科"
70,"2023 第四季","5,194","44,611","中保科"
71,"2024 第一季","695,734","619,580","中保科"
72,"2023 第一季","365,216","529,375","美利達"
73,"2023 第二季","627,769","1,666,238","美利達"
74,"2023 第三季","815,070","3,088,799","美利達"
75,"2023 第四季","1,145,441","67,898","美利達"
76,"2024 第一季","311,947","1,196,227","美利達"
78,"2023 第二季","62,268","238,837","豐泰"
81,"2024 第一季","12,734","143,621","豐泰"
86,"2024 第一季","3,790,461","8,406,608","寶成"
87,"2023 第一季","164,618","126,662","高力"
88,"2023 第二季","262,225","334,263","高力"
89,"2023 第三季","377,981","540,399","高力"
90,"2023 第四季","512,511","555,824","高力"
91,"2024 第一季","115,352","128,583","高力"
92,"2023 第一季","167,249","3,573","台汽電"
93,"2023 第二季","251,500","4,460","台汽電"
94,"2023 第三季","-32,149","1,061,446","台汽電"
95,"2023 第四季","543,258","-1,534","台汽電"
96,"2024 第一季","172,241","2,197","台汽電"
100,"2023 第四季","113,097","23.66","東哥遊艇"
107,"2023 第一季","1,517,005","19,438","富邦媒"
108,"2023 第二季","3,158,370","-15,944","富邦媒"
110,"2023 第四季","6,320,978","-10,752","富邦媒"
112,"2023 第一季","1,121,245","585,681","大國鋼"
114,"2023 第三季","3,343,925","746,402","大國鋼"
116,"2024 第一季","1,117,040","-336,595","大國鋼"
117,"2023 第一季","-75,501","5,821","群聯"
120,"2023 第四季","-50,601","-124,063","群聯"
121,"2024 第一季","-39,169","67,548","群聯"
122,"2023 第一季","211,866","46,871","勤誠"
123,"2023 第二季","466,540","305,656","勤誠"
124,"2023 第三季","670,412","527,308","勤誠"
125,"2023 第四季","1,127,293","-32,888","勤誠"
126,"2024 第一季","291,374","474,054","勤誠"
127,"2023 第一季","296,341","-19,640","至上"
128,"2023 第二季","1,499,624","694,011","至上"
129,"2023 第三季","2,769,755","1,378,436","至上"
130,"2023 第四季","4,479,885","2,397,815","至上"
131,"2024 第一季","1,282,515","530,645","至上"
132,"2023 第一季","340,491","-1,985","長華*"
133,"2023 第二季","721,343","-9,252","長華*"
134,"2023 第三季","1,025,094","55,973","長華*"
135,"2023 第四季","1,391,338","-18,246","長華*"
136,"2024 第一季","387,393","319,789","長華*"
137,"2023 第一季","1,812,453","-549,590","元太"
138,"2023 第二季","3,842,734","-449,501","元太"
139,"2023 第三季","5,773,446","544,186","元太"
140,"2023 第四季","7,285,477","23,258","元太"
141,"2024 第一季","833,107","988,019","元太"
142,"2023 第一季","3,165,155","96,087","南電"
143,"2023 第二季","4,609,277","-446,859","南電"
144,"2023 第三季","5,639,949","330,741","南電"
145,"2023 第四季","6,329,982","-312,115","南電"
146,"2024 第一季","72,660","553,060","南電"
147,"2023 第一季","697,795","476,095","矽創"
148,"2023 第二季","1,509,642","1,258,861","矽創"
149,"2023 第三季","2,363,945","1,954,214","矽創"
150,"2023 第四季","3,211,129","213,466","矽創"
151,"2024 第一季","846,520","161,268","矽創"
160,"2023 第四季","2,263,883","1,293,778","來億-KY"
161,"2024 第一季","602,524","94,513","來億-KY"
163,"2023 第二季","200,715","4.21","富世達"
165,"2023 第四季","437,140","10.18","富世達"
166,"2024 第一季","143,714","3.27","富世達"
168,"2023 第二季","25,065","726,051","采鈺"
172,"2023 第一季","264,367","636,920","AES-KY"
173,"2023 第二季","541,320","1,047,039","AES-KY"
174,"2023 第三季","1,657,183","1,500,437","AES-KY"
175,"2023 第四季","210,663","-127,424","AES-KY"
176,"2024 第一季","253,327","837,497","AES-KY"
180,"2023 第四季","811,301","-0.4","力積電"
183,"2023 第二季","18,462","10.16","洋基工程"
184,"2023 第三季","28,785","15.92","洋基工程"
185,"2023 第四季","38,267","-1,034","洋基工程"
187,"2023 第一季","-4,816","687,934","復盛應用"
188,"2023 第二季","13,723","1,064,535","復盛應用"
189,"2023 第三季","2,230","1,720,224","復盛應用"
190,"2023 第四季","3,041,058","2,404,300","復盛應用"
191,"2024 第一季","455","1,074,251","復盛應用"
192,"2023 第一季","1,701,962","3,224,562","緯穎"
193,"2023 第二季","3,169,765","6,452,564","緯穎"
194,"2023 第三季","4,972,314","10,313,195","緯穎"
195,"2023 第四季","6,786,731","128,620","緯穎"
196,"2024 第一季","1,848,559","6,296,743","緯穎"
197,"2023 第一季","6,258","2.24","M31"
198,"2023 第二季","131,972","169,076","M31"
199,"2023 第三季","277,937","323,791","M31"
200,"2023 第四季","446,496","435,189","M31"
201,"2024 第一季","2,708","43,717","M31"
203,"2023 第二季","1,440,364","-43,154","帝寶"
204,"2023 第三季","2,160,965","-22,335","帝寶"
205,"2023 第四季","2,956,709","-22,019","帝寶"
206,"2024 第一季","711,881","18,663","帝寶"
207,"2023 第一季","1,292,294","943,590","和潤企業"
209,"2023 第三季","3,926,438","3,018,700","和潤企業"
210,"2023 第四季","5,225,934","3,811,711","和潤企業"
211,"2024 第一季","1,224,813","1,002,373","和潤企業"
212,"2023 第一季","73,419","0","北極星藥業-KY"
213,"2023 第二季","165,816","-960","北極星藥業-KY"
214,"2023 第三季","221,128","-8,952","北極星藥業-KY"
216,"2024 第一季","476,047","-11,933","北極星藥業-KY"
217,"2023 第一季","273,509","380,110","長科*"
218,"2023 第二季","543,320","864,258","長科*"
219,"2023 第三季","863,838","1,284,707","長科*"
221,"2024 第一季","274,698","436,921","長科*"
222,"2023 第一季","189,412","62,576","愛普*"
224,"2023 第三季","676,722","1,076,870","愛普*"
225,"2023 第四季","902,225","8.93","愛普*"
226,"2024 第一季","238,893","2.27","愛普*"
228,"2023 第二季","394,124","316,630","達發"
229,"2023 第三季","858,802","801,313","達發"
230,"2023 第四季","1,010,613","-60,341","達發"
233,"2023 第二季","121,421","8.14","穎崴"
235,"2023 第四季","231,882","13.52","穎崴"
236,"2024 第一季","78,514","5.81","穎崴"
237,"2023 第一季","2,797,614","8,280","台塑化"
238,"2023 第二季","5,643,813","6,022","台塑化"
239,"2023 第三季","8,769,519","-4,987","台塑化"
240,"2023 第四季","11,618,107","45,201","台塑化"
241,"2024 第一季","2,858,276","2,931","台塑化"
242,"2023 第一季","351,882","6,500","晶碩"
244,"2023 第三季","1,207,802","1,078,861","晶碩"
245,"2023 第四季","1,687,173","22,029","晶碩"
246,"2024 第一季","403,966","5,139","晶碩"
247,"2023 第一季","1,448,656","5,000,228","環球晶"
248,"2023 第二季","2,982,988","9,789,589","環球晶"
249,"2023 第三季","4,519,151","15,328,831","環球晶"
250,"2023 第四季","6,382,005","-461,302","環球晶"
251,"2024 第一季","1,200,031","3,533,833","環球晶"
252,"2023 第一季","1,547,439","3,927","保瑞"
253,"2023 第二季","2,894,216","12,729","保瑞"
255,"2023 第四季","5,249,139","41,779","保瑞"
256,"2024 第一季","892,043","27,524","保瑞"
261,"2024 第一季","17,585","1","藥華藥"
262,"2023 第一季","1,529,910","-253,983","矽力*-KY"
263,"2023 第二季","2,993,740","385,559","矽力*-KY"
264,"2023 第三季","4,767,520","1,523,414","矽力*-KY"
265,"2023 第四季","6,579,439","-844","矽力*-KY"
266,"2024 第一季","1,991,483","1,334,185","矽力*-KY"
267,"2023 第一季","4,230,075","280","樺漢"
268,"2023 第二季","148,690","707,890","樺漢"
270,"2023 第四季","199,283","-79,599","樺漢"
271,"2024 第一季","184,783","886,393","樺漢"
272,"2023 第一季","821,970","623,512","群電"
273,"2023 第二季","1,810,945","1,127,960","群電"
275,"2023 第四季","3,738,747","3,294,677","群電"
