代號,名稱,發行量(股),市值(億),平均日成交額(元),2020年淨利,2021年淨利,2022年淨利,2023年淨利,2020年現金股利,2021年現金股利,2022年現金股利,2023年現金股利,2020年股利發放率,2021年股利發放率,2022年股利發放率,股價,日期,平均股利發放率,預期現金股利,現金殖利率
2330,台積電,25940000,239121,22948975733.48649,517885387,596540013,1016530249,838497664,259303805,265786399,285234185.0,291721852.0,0.5132147105745619,0.47814761589177757,0.28697803364629637,966.0,2024-06-28,0.4261134533708786,357295135.2504546,0.014258702406511227
2317,鴻海,13860000,27449,8344874433.046332,101794807,139320332,141482714,142098208,58224561,58744683,79025627.0,80721555.0,0.5770891927718866,0.5672224998717345,0.5705400519811912,214.0,2024-06-28,0.5716172482082708,81225786.63228649,0.02738526339236372
2454,聯發科,1599000,22311,6997035459.826255,40916800,111421062,118141106,76978637,16588763,58584650,116140659.0,120981171.0,1.4317994075783051,1.042358212309985,1.024039600577296,1400.0,2024-06-28,1.1660657401551955,89762151.32954311,0.04009744989258604
2382,廣達,3863000,11221,12269052800.50193,25327631,33652524,28957466,39676394,14685910,20253559,26009039.0,23764557.0,0.7996625898411107,0.7728703796481952,0.8206711526485087,312.0,2024-06-28,0.7977347073792714,31651236.55745468,0.026261007252778395
2881,富邦金,13020000,10009,989714561.918919,,,,,23383194,33550645,44343497.0,22108799.0,,,,79.3,2024-06-28,,,
2412,中華電,7757000,9930,985115207.911197,33406130,35753579,36477157,36916708,32782969,33403565,35746314.0,36475514.0,0.999923217684898,0.9997968035591626,0.9999549581125524,125.5,2024-06-28,0.9998916597855376,36912708.43593804,0.037917386466446226
2308,台達電,2598000,9182,3089759404.1621623,25485231,26796302,32665728,33392665,12987717,14286480,14286479.0,25559802.0,0.5605787916931183,0.5331511415269167,0.782465402271151,387.5,2024-06-28,0.6253984451637287,20883720.77087326,0.0207442159188192
2882,國泰金,14670000,8537,1002027967.3552123,,,,,29729344,36313949,49483159.0,16593213.0,,,,59.0,2024-06-28,,,
2891,中信金,19620000,7319,1316433061.5289576,,,,,20486315,25538754,20754630.0,,,,,37.85,2024-06-28,,,
3711,日月光投控,4395000,7296,1882760167.8532817,27592979,63907680,62090494,31725403,8520982,18082500,29990842.0,37840609.0,0.6553297489191,0.46928384820103,0.6094428722052042,168.5,2024-06-28,0.5780188231084448,18337880.104701124,0.024762263706330872
