代號,名稱,發行量(股),股價,日期,112季,dividend_per_share
2330,台積電,25940000,966.0,2024-06-28,291721852.0,11.246023592906708
2317,鴻海,13860000,214.0,2024-06-28,80721555.0,5.824066017316017
2454,聯發科,1599000,1400.0,2024-06-28,120981171.0,75.66051969981238
2382,廣達,3863000,312.0,2024-06-28,23764557.0,6.151839761843127
2412,中華電,7757000,125.5,2024-06-28,36475514.0,4.7022707232177385
2308,台達電,2598000,387.5,2024-06-28,25559802.0,9.838260969976906
3711,日月光投控,4395000,168.5,2024-06-28,37840609.0,8.609922411831628
2303,聯電,12530000,55.7,2024-06-28,45014783.0,3.5925604948124503
6505,台塑化,9526000,64.8,2024-06-28,10479310.0,1.1000745328574428
6669,緯穎,174800,2645.0,2024-06-28,8742040.0,50.0116704805492
1216,統一,5682000,81.3,2024-06-28,17898349.0,3.150008623724041
1303,南亞,7931000,49.3,2024-06-28,23833140.0,3.005061152439793
3045,台灣大,3723000,107.0,2024-06-28,13966853.0,3.751504969110932
1301,台塑,6366000,57.5,2024-06-28,26745324.0,4.201276154571159
1301,台塑,6366000,57.5,2024-06-28,26745324.0,4.201276154571159
3034,聯詠,608500,606.0,2024-06-28,22514924.0,37.00069679539852
2357,華碩,742800,498.0,2024-06-28,11141404.0,14.999197630586968
2002,中鋼,15730000,23.1,2024-06-28,15759055.0,1.0018471074380166
3008,大立光,133500,2745.0,2024-06-28,9676444.0,72.4827265917603
3231,緯創,2897000,106.0,2024-06-28,7400801.0,2.5546430790472905
2345,智邦,560600,555.0,2024-06-28,4184543.0,7.464400642169105
2395,研華,860400,370.0,2024-06-28,7779770.0,9.042038586703859
4904,遠傳,3606000,84.1,2024-06-28,10671112.0,2.95926566833056
4938,和碩,2664000,104.5,2024-06-28,13487770.0,5.062976726726727
1326,台化,5861000,50.4,2024-06-28,,
1326,台化,5861000,50.4,2024-06-28,5587309.0,0.9533030199624637
2327,國巨,423200,730.0,2024-06-28,4178580.0,9.873771266540643
2327,國巨,423200,730.0,2024-06-28,4178580.0,9.873771266540643
2379,瑞昱,512900,546.0,2024-06-28,13847319.0,26.998087346461297
8069,元太,1144000,252.0,2024-06-28,5131821.0,4.4858575174825175
2912,統一超,1040000,273.5,2024-06-28,10590115.0,10.182802884615384
3017,奇鋐,383300,765.0,2024-06-28,1914941.0,4.995932689799113
3037,欣興,1525000,180.0,2024-06-28,12190426.0,7.993721967213115
1101,台泥,7551000,34.2,2024-06-28,4061436.0,0.5378673023440604
6488,環球晶,478100,539.0,2024-06-28,6963792.0,14.565555323154152
2301,光寶科,2348000,106.0,2024-06-28,11519737.0,4.906191226575809
1519,華城,261100,945.0,2024-06-28,652646.0,2.4996016851780927
3661,世芯-KY,79200,2455.0,2024-06-28,930917.0,11.754002525252526
1590,亞德客-KY,200000,988.0,2024-06-28,2687810.0,13.43905
3443,創意,134000,1605.0,2024-06-28,1876167.0,14.001246268656717
6415,矽力*-KY,385000,462.0,2024-06-28,1721681.0,4.471898701298701
3529,力旺,74700,2570.0,2024-06-28,1529693.0,20.477817938420348
2376,技嘉,635700,305.5,2024-06-28,3941271.0,6.199891458235016
2356,英業達,3588000,55.8,2024-06-28,5381213.0,1.499780657748049
3533,嘉澤,111900,1630.0,2024-06-28,2803575.0,25.054289544235925
2618,長榮航,5400000,38.15,2024-06-28,4290310.0,0.7945018518518518
1402,遠東新,5353000,35.25,2024-06-28,14306261.0,2.6725688399028584
5347,世界,1639000,129.5,2024-06-28,7375420.0,4.499951189749847
