代號,名稱,發行量(萬張),市值(億)
2330,台積電,2594,239121
2317,鴻海,1386,27449
2454,聯發科,159.9,22311
2382,廣達,386.3,11221
2881,富邦金,1302,10009
2412,中華電,775.7,9930
2308,台達電,259.8,9182
2882,國泰金,1467,8537
2891,中信金,1962,7319
3711,日月光投控,439.5,7296
2303,聯電,1253,7054
6505,台塑化,952.6,6278
2886,兆豐金,1440,5696
6669,緯穎,17.48,4834
1216,統一,568.2,4642
2884,玉山金,1566,4503
2603,長榮,215,4279
2885,元大金,1269,4061
1303,南亞,793.1,4021
3045,台灣大,372.3,4003
0050,元大台灣50,219.9,3958
1301,台塑,636.6,3883
5880,合庫金,1471,3817
2892,第一金,1362,3807
3034,聯詠,60.85,3736
2357,華碩,74.28,3666
2002,中鋼,1573,3658
2207,和泰車,55.71,3538
2880,華南金,1364,3486
3008,大立光,13.35,3363
3231,緯創,289.7,3143
2345,智邦,56.06,3117
2395,研華,86.04,3111
4904,遠傳,360.6,3090
4938,和碩,266.4,3077
1326,台化,586.1,3054
2890,永豐金,1239,2985
2327,國巨,42.32,2945
0056,元大高股息,725,2940
2379,瑞昱,51.29,2918
8069,元太,114.4,2861
2912,統一超,104,2833
3017,奇鋐,38.33,2833
3037,欣興,152.5,2783
2609,陽明,349.2,2633
2615,萬海,280.6,2604
1101,台泥,755.1,2567
2883,開發金,1683,2567
6488,環球晶,47.81,2553
5871,中租-KY,161.5,2527
2301,光寶科,234.8,2524
1519,華城,26.11,2402
2887,台新金,1248,2339
5876,上海商銀,486.2,2205
3661,世芯-KY,7.92,2106
1590,亞德客-KY,20,2100
3443,創意,13.4,2097
2408,南亞科,309.9,2051
6415,矽力*-KY,38.5,2025
3529,力旺,7.47,2019
2376,技嘉,63.57,2002
2356,英業達,358.8,1987
2801,彰銀,1086,1971
3533,嘉澤,11.19,1958
2618,長榮航,540,1952
1402,遠東新,535.3,1903
5347,世界,163.9,1803
5274,信驊,3.78,1793
2633,台灣高鐵,562.8,1688
3293,鈊象,14.09,1656
5269,祥碩,7.47,1650
6446,藥華藥,34.09,1643
2105,正新,324.1,1600
2383,台光電,34.43,1591
6409,旭隼,8.77,1584
9910,豐泰,98.75,1580
2324,仁寶,440.7,1576
2474,可成,68.04,1568
3653,健策,14.29,1543
2353,宏碁,304.8,1518
2377,微星,84.49,1517
1605,華新,403.1,1502
1102,亞泥,354.7,1482
1476,儒鴻,27.44,1468
2385,群光,76.01,1463
2888,新光金,1549,1460
3702,大聯大,167.9,1447
6239,力成,75.91,1446
2834,臺企銀,822.2,1410
2409,友達,769.9,1409
1503,士電,52.1,1404
2610,華航,605.2,1392
2347,聯強,166.8,1381
6526,達發,16.75,1355
2371,大同,234,1348
9945,潤泰新,284.4,1294
8299,群聯,20.48,1290
3036,文曄,111.6,1278
8046,南電,64.62,1254
1504,東元,213.9,1238
3481,群創,907.9,1235
5483,中美晶,58.62,1234
2360,致茂,42.54,1204
2449,京元電子,122.3,1173
4958,臻鼎-KY,94.7,1146
2059,川湖,9.53,1139
3044,健鼎,52.56,1117
6770,力積電,414,1105
6789,采鈺,31.7,1089
9904,寶成,294.7,1087
1229,聯華,158.4,1061
8464,億豐,29.3,1061
2344,華邦電,418,1030
8454,富邦媒,24.03,1021
6176,瑞儀,46.5,1018
2542,興富發,188.4,972
2354,鴻準,141.4,972
2812,台中銀,522.6,964
1513,中興電,50.31,961
2368,金像電,49.18,944
1477,聚陽,24.19,928
9958,世紀鋼,25.69,912
2027,大成鋼,243.4,896
2313,華通,119.2,856
9941,裕融,54.82,855
9921,巨大,39.21,847
3035,智原,26.06,825
2540,愛山林,41.66,817
6472,保瑞,10.16,792
2258,鴻華先進-創,174.1,779
6121,新普,18.5,774
2915,潤泰全,110.4,754
1795,美時,26.55,754
6285,啟碁,48.53,750
2352,佳世達,196.7,744
2049,上銀,35.38,736
2201,裕隆,107,733
3324,雙鴻,9.09,727
4763,材料-KY,8.63,723
3406,玉晶光,11.27,710
4966,譜瑞-KY,8.12,710
9914,美利達,29.9,701
2204,中華,55.36,700
3023,信邦,24,700
1319,東陽,59.15,698
3005,神基,61.18,697
5522,遠雄,78.16,686
2809,京城銀,111.1,683
4743,合一,45.54,678
2404,漢唐,19.06,678
3532,台勝科,38.78,663
3105,穩懋,42.39,651
2845,遠東銀,407,633
1722,台肥,98,631
6592,和潤企業,56.65,629
2539,櫻花建,85.71,625
2211,長榮鋼,41.71,613
2206,三陽工業,79.75,611
6890,來億-KY,24.94,599
2838,聯邦銀,377.9,595
6531,愛普*,16.22,581
2388,威盛,50,575
2492,華新科,48.58,573
9917,中保科,45.12,571
2504,國產,118,566
6412,群電,39.9,559
3706,神達,120.7,554
1802,台玻,290.8,553
6805,富世達,6.86,548
6139,亞翔,23.3,540
5904,寶雅,10.35,538
5434,崇越,18.87,537
6781,AES-KY,8.54,536
6005,群益證,217.1,532
2889,國票金,344.7,529
3665,貿聯-KY,16.34,529
2637,慧洋-KY,74.64,528
1808,潤隆,45.1,528
6550,北極星藥業-KY,74.44,525
2451,創見,42.91,521
4919,新唐,41.98,521
2548,華固,27.68,513
1210,大成,89.48,510
6147,頎邦,74.47,509
4915,致伸,46.29,509
6223,旺矽,9.42,506
2006,東和鋼鐵,73.02,502
2923,鼎固-KY,174,501
3376,新日興,18.77,499
2634,漢翔,94.19,498
1907,永豐餘,166,496
2458,義隆,30.39,491
2337,旺宏,185.6,483
2101,南港,83.39,479
3374,精材,27.14,476
2606,裕民,84.51,476
6274,台燿,27.2,471
9939,宏全,28.78,466
6414,樺漢,13.7,459
2903,遠百,141.7,454
8996,高力,8.98,453
5508,永信建,21.74,452
8112,至上,52.01,441
1560,中砂,14.41,440
2363,矽統,74.96,432
4766,南寶,12.06,430
6643,M31,3.48,427
5903,全家,22.32,426
2015,豐興,58.16,424
2645,長榮航太,37.46,423
3189,景碩,45.44,421
3030,德律,23.62,418
6213,聯茂,36.3,414
3680,家登,9.43,409
2392,正崴,51.23,408
2530,華建,84,407
2227,裕日車,30,406
1609,大亞,73.68,405
9933,中鼎,80.92,401
2855,統一證,145.6,397
1773,勝一,25,395
6605,帝寶,16.58,393
6548,長科*,95.05,391
2501,國建,116,390
6670,復盛應用,13.4,389
1227,佳格,91.51,386
2867,三商壽,510,383
1314,中石化,378.5,382
1434,福懋,168.5,379
6257,矽格,46.46,378
2498,宏達電,83.23,376
3131,弘塑,2.92,374
6691,洋基工程,8.83,373
3042,晶技,30.98,367
8210,勤誠,12.06,367
8415,大國鋼,103.2,366
3264,欣銓,49.02,366
6491,晶碩,7.8,363
3362,先進光,14.25,363
5371,中光電,39.1,361
1717,長興,117.8,361
3596,智易,22.04,358
1514,亞力,26.19,356
2362,藍天,63.23,355
2597,潤弘,18.5,354
4123,晟德,71.63,354
2441,超豐,56.88,354
8070,長華*,68.94,352
6515,穎崴,3.48,351
8926,台汽電,73.03,349
6214,精誠,27.23,349
5534,長虹,29.03,347
6278,台表科,29.24,344
2607,榮運,106.7,343
6901,鑽石投資,85.04,341
8016,矽創,12.01,340
2329,華泰,56.03,340
3010,華立,25.08,337
8478,東哥遊艇,8.89,336
3260,威剛,29.59,336
3714,富采,75.29,335
6191,精成科,47.43,334
