code,name,Issued Units,Unit Change,Price,Trust Est. NAV,Est. Prem/Disc,Prev. NAV,date,time,unknown
00693U,街口標普高盛黃豆ER指數股票型期貨信託基金,27166000.0,0.0,23.99,23.91,0.33,24.06,20240607,17:01:15,3
00715L,街口標普高盛布蘭特原油ER單日正向2倍指數股票型期貨信託基金,443884000.0,0.0,15.01,14.89,0.8,14.99,20240607,17:01:15,3
00763U,街口道瓊銅ER指數股票型期貨信託基金,23065000.0,0.0,28.51,28.17,1.2,28.69,20240607,17:01:15,3
00703,台新MSCI中國,11050000.0,0.0,15.74,15.67,0.45,15.77,20240607,16:59:45,3
00734B,台新JPM新興債,33979000.0,0.0,15.81,15.82,-0.06,15.83,20240607,16:59:45,4
00842B,台新美元銀行債,9767000.0,0.0,33.7,33.74,-0.12,33.75,20240607,16:59:45,4
00851,台新全球AI,8525000.0,0.0,44.39,44.2,0.43,44.26,20240607,16:59:45,4
00936,台新永續高息中小,452797000.0,73000000.0,18.71,18.58,0.7,18.56,20240607,16:59:45,1
00942B,台新美A公司債20+,407959000.0,15000000.0,15.66,15.64,0.11,15.65,20240607,16:59:45,3
00947,台新臺灣IC設計,0.0,0.0,0.0,15.0,0.0,15.0,20240607,16:59:45,1
00834B,第一金金融債10+,20198000.0,0.0,35.31,35.428,-0.33,35.44,20240607,17:00:59,3
00910,第一金太空衛星,6439000.0,0.0,18.03,17.9515,0.44,18.0,20240607,17:00:59,4
00728,第一金工業30,56423000.0,0.0,31.04,31.11,-0.23,31.14,20240607,17:00:59,1
00752,中信中國50,475716000.0,500000.0,18.76,18.81,-0.27,18.95,20240607,16:59:45,2
00753L,中信中國50正2,787157000.0,6500000.0,8.18,8.16,0.25,8.32,20240607,16:59:45,2
00772B,中信高評級公司債,3768290000.0,-12500000.0,35.85,35.8941,-0.12,35.9441,20240607,16:59:45,3
00773B,中信優先金融債,2414290000.0,-65500000.0,37.37,37.4092,-0.1,37.471,20240607,16:59:45,3
00795B,中信美國公債20年,1545598000.0,-2500000.0,30.26,30.2563,0.01,30.3155,20240607,16:59:45,3
00847B,中信美國市政債,11305000.0,0.0,27.91,27.9454,-0.13,28.0016,20240607,16:59:45,3
00848B,中信新興亞洲債,206566000.0,0.0,35.65,35.6145,0.1,35.6526,20240607,16:59:45,2
00849B,中信EM主權債0-5,526106000.0,0.0,37.21,37.1399,0.19,37.1596,20240607,16:59:45,3
00862B,中信投資級公司債,642881000.0,0.0,33.61,33.6383,-0.08,33.6819,20240607,16:59:45,3
00863B,中信全球電信債,499964000.0,0.0,34.46,34.4369,0.07,34.4929,20240607,16:59:45,3
00864B,中信美國公債0-1,120722000.0,0.0,45.48,45.4136,0.15,45.417,20240607,16:59:45,3
00882,中信中國高股息,3609849000.0,-7000000.0,12.06,12.13,-0.58,12.08,20240607,16:59:45,2
00883B,中信ESG投資級債,9758000.0,0.0,32.91,32.9294,-0.06,32.9683,20240607,16:59:45,3
00884B,中信低碳新興債,53940000.0,0.0,31.1,31.075,0.08,31.0911,20240607,16:59:45,3
