代號,公司名稱,109季,110季,111季,112季
2330,台積電,"-259,303,805","-265,786,399","-285,234,185","-291,721,852"
2317,鴻海,"-58,224,561","-58,744,683","-79,025,627","-80,721,555"
2454,聯發科,"-16,588,763","-58,584,650","-116,140,659","-120,981,171"
2382,廣達,"-14,685,910","-20,253,559","-26,009,039","-23,764,557"
2881,富邦金
2412,中華電,"-32,782,969","-33,403,565","-35,746,314","-36,475,514"
2308,台達電,"-12,987,717"
2882,國泰金
2891,中信金
3711,日月光投控,"-8,520,982","-18,082,500","-29,990,842","-37,840,609"
2303,聯電,"-9,765,694","-19,871,129","-37,445,300","-45,014,783"
6505,台塑化,"-27,625,058","-5,620,656","-36,197,781","-10,479,310"
2886,兆豐金
6669,緯穎,"-4,021,131","-5,594,905","-4,371,020","-8,742,040"
1216,統一,"-14,205,039","-15,341,442","-15,341,442","-17,898,349"
2884,玉山金
2603,長榮,"-13,156,234","-95,238,884","-148,149,406"
2885,元大金
1303,南亞,"-17,460,662","-19,044,329","-59,374,150","-23,833,140"
3045,台灣大,"-14,005,485","-12,869,217","-13,429,860","-13,966,853"
1301,台塑,"-28,012,404"
5880,合庫金
2892,第一金
3034,聯詠,"-6,389,371","-9,492,779","-31,338,341","-22,514,924"
2357,華碩,"-10,398,644","-19,311,767","-31,195,932","-11,141,404"
2002,中鋼,"-7,915,869","-4,778,721","-48,872,707","-15,759,055"
2207,和泰車,"-7,646,509","-10,935,784","-12,916,306","-2,964,584"
2880,華南金
3008,大立光,"-10,597,076","-12,273,828","-14,635,600","-9,676,444"
3231,緯創,"-5,681,224","-6,258,127","-6,257,467","-7,400,801"
2345,智邦,"-3,449,054","-3,622,184","-3,346,320","-4,184,543"
2395,研華,"-5,463,198","-5,480,813","-6,195,710","-7,779,770"
4904,遠傳,"-10,674,577","-10,668,650","-10,664,586","-10,671,112"
4938,和碩,"-12,553,366","-13,007,325","-15,720,440","-13,487,770"
1326,台化,"-22,267,479","-14,657,452","-28,130,872"
2890,永豐金
2327,國巨
2379,瑞昱,"-13,847,318","-13,847,319"
8069,元太,"-2,268,726","-3,062,779","-3,649,295","-5,131,821"
2912,統一超,"-10,473,302","-10,653,529","-10,706,206","-10,590,115"
3017,奇鋐,"-459,303","-989,268","-1,519,234","-1,914,941"
3037,欣興,"-1,601,196","-2,054,577","-5,015,885","-12,190,426"
2609,陽明,"-69,842,085","-69,842,086"
2615,萬海,"-1,774,638","-2,218,298","-25,621,336","-14,030,731"
1101,台泥,"-16,479,137","-23,014,042","-7,627,265","-4,061,436"
2883,開發金
6488,環球晶,"-10,880,925","-7,834,266","-6,963,792","-6,963,792"
5871,中租-KY
2301,光寶科,"-7,443,283","-12,560,540","-9,144,103","-11,519,737"
1519,華城,"-261,058","-339,376"
2887,台新金
5876,上海商銀
3661,世芯-KY,"-930,917"
1590,亞德客-KY,"-913,133","-1,712,016","-2,675,892","-2,687,810"
3443,創意,"-670,060","-670,060","-938,083","-1,876,167"
2408,南亞科,"-4,600,000","-4,000,000","-11,470,000","-6,600,000"
6415,矽力*-KY,"-683,341","-971,321","-1,692,199","-1,721,681"
3529,力旺,"-519,866","-670,536","-1,043,820","-1,529,693"
2376,技嘉,"-1,398,516","-3,178,444","-7,619,807","-3,941,271"
2356,英業達,"-4,663,718","-6,636,829","-5,022,465","-5,381,213"
2801,彰銀
3533,嘉澤,"-1,086,518","-1,376,256","-1,695,646","-2,803,575"
2618,長榮航,"-1,213,392",0,"-3,163,333","-4,290,310"
1402,遠東新,"-8,028,144","-7,226,382","-8,029,313","-14,306,261"
5347,世界,"-5,244,743","-5,736,438","-7,375,420","-7,375,420"
5274,信驊,"-752,946","-892,204","-1,202,427","-1,701,931"
2633,台灣高鐵,"-6,810,797","-5,909,708","-4,266,246"
2105,正新,"-3,889,699","-3,889,699","-4,555,915"
2383,台光電,"-1,923,434","-2,333,037","-3,333,150","-2,829,806"
6409,旭隼,"-1,932,594","-2,054,731","-2,054,355","-3,817,672"
9910,豐泰,"-2,938,937","-3,262,220","-3,614,893","-6,788,944"
2324,仁寶,"-5,228,555","-6,971,407","-8,714,259","-5,228,555"
2474,可成,"-7,616,181","-9,139,417","-7,297,490","-6,803,641"
3653,健策,"-605,127","-733,352","-784,999","-1,661,793"
2353,宏碁,"-2,331,283","-4,501,662","-6,841,809","-4,501,662"
2377,微星,"-3,548,396","-5,153,623","-8,870,438","-5,575,711"
1605,華新,"-1,662,891","-3,088,030","-5,489,781","-6,716,022"
1102,亞泥,"-10,084,585","-11,933,944","-12,054,870","-8,155,562"
1476,儒鴻,"-3,018,038","-3,018,038","-3,292,406","-4,664,241"
2385,群光,"-4,142,372","-3,893,613","-4,358,347","-5,420,175"
2888,新光金
2834,臺企銀
2409,友達,"-6,134,305"
1503,士電,"-833,556","-833,556","-937,750","-1,041,944"
2610,華航,0,"-4,998,275","-3,025,052"
2347,聯強,"-4,336,662","-5,504,225","-8,339,735","-5,837,814"
2371,大同
9945,潤泰新,"-1,003,254","-1,504,881","-4,213,667",0
8299,群聯,"-2,561,962","-4,532,702","-4,532,738","-2,836,702"
3036,文曄,"-1,645,111","-2,589,627","-4,701,032","-4,082,065"
8046,南電,"-452,316","-2,196,962","-6,461,655","-11,630,978"
1504,東元,"-1,918,798","-2,459,616","-2,887,375","-3,208,195"
3481,群創,"-3,247","-3,141,271","-11,087,601",0
5483,中美晶,"-2,931,109","-5,275,995","-8,551,737","-8,742,111"
2360,致茂,"-1,288,777","-1,927,668","-3,039,348","-3,403,176"
2449,京元電子,"-2,200,941","-2,445,490","-3,668,235","-4,279,608"
1229,聯華,"-1,758,068","-2,166,819","-2,527,139","-1,916,414"
8464,億豐,"-2,930,202","-2,930,202","-3,223,222","-3,223,222"
2344,華邦電,"-398,000","-796,000","-3,980,000","-3,980,000"
8454,富邦媒,"-1,190,497","-1,400,585","-2,366,989","-3,278,331"
6176,瑞儀,"-3,720,218","-3,720,218","-3,720,218","-4,650,273"
2542,興富發,"-2,795,749","-2,584,670","-6,703,621","-1,057,848"
2354,鴻準,"-3,536,213","-2,546,073","-2,404,625","-2,263,176"
2812,台中銀
1513,中興電,"-504,000","-1,047,495","-1,333,176","-1,667,144"
2368,金像電,"-819,732","-1,189,681","-1,703,406"
1477,聚陽,"-1,099,283","-1,934,853","-2,297,638","-3,506,920"
9958,世紀鋼,"-210,557","-689,969","-694,645","-116,626"
2027,大成鋼,"-2,090,438","-2,140,137","-3,184,023","-4,287,813"
2313,華通,"-1,430,185","-1,787,731"
9941,裕融,"-1,626,524","-1,860,808","-2,301,806","-2,990,964"
3035,智原,"-273,405","-248,550","-820,216","-1,242,752"
2540,愛山林,"-564,410","-435,118"
6472,保瑞,"-83,254","-109,766","-238,802","-619,134"
6121,新普,"-2,682,073","-3,532,937","-4,809,233","-5,105,186"
2915,潤泰全,"-2,746,894","-1,098,758","-3,570,962","-2,168,385"
1795,美時,"-92,005","-506,058","-906,227"
6285,啟碁,"-975,581","-993,836","-832,551","-2,024,042"
2352,佳世達,"-1,475,086","-2,950,173","-4,916,955","-3,933,564"
2049,上銀,"-557,242","-661,733","-1,533,565","-1,945,857"
2201,裕隆,"-1,214,015","-2,148,097","-2,913,032","-2,995,114"
3324,雙鴻,"-432,727","-482,131","-516,565","-577,375"
4763,材料-KY,"-237,649","-274,960","-314,103","-997,472"
3406,玉晶光,"-1,009,721"
4966,譜瑞-KY,"-1,216,887","-1,752,708","-2,622,127","-2,439,014"
9914,美利達,"-1,246,476","-2,092,887","-2,395,019","-2,094,202"
2204,中華,0,"-3,875,342","-3,044,912","-2,214,481"
3023,信邦,"-1,233,720","-1,467,504","-1,640,858","-2,030,999"
1319,東陽,"-1,064,658","-473,182","-502,756","-1,478,693"
3005,神基,"-1,632,879","-2,123,911","-2,154,075","-2,294,771"
5522,遠雄,"-3,603,894","-3,517,183","-5,080,376","-3,126,385"
2809,京城銀
2404,漢唐,"-2,477,627","-3,239,974","-2,462,131","-2,813,801"
3105,穩懋,"-2,968,394","-4,240,414","-3,391,811","-1,059,851"
2845,遠東銀
1722,台肥,"-2,156,000","-2,254,000","-2,744,000","-2,450,000"
6592,和潤企業,"-1,596,502","-1,802,501","-2,163,002"
2539,櫻花建,"-463,789","-111,784","-128,209","-147,127"
2211,長榮鋼,"-788,073","-872,378","-1,251,274","-2,085,457"
2206,三陽工業,"-811,180","-1,044,001","-1,036,931","-1,435,481"
2838,聯邦銀
6531,愛普*,"-73,682","-370,373","-968,275","-1,132,442"
2388,威盛,"-395,517","-495,350","-74,752"
2492,華新科,"-2,671,900","-2,914,858","-2,186,104","-1,165,922"
9917,中保科,"-1,804,788","-2,255,986","-2,255,986","-2,255,986"
2504,國產,"-413,643","-1,770,000","-2,124,000","-2,360,000"
6412,群電,"-1,241,072","-1,568,589","-2,056,020","-2,354,337"
3706,神達,"-1,070,961","-1,196,009","-2,395,106","-1,562,129"
1802,台玻,-87,"-1,454,149","-4,782,942","-448,300"
6139,亞翔,"-338,311","-225,541","-338,311","-789,393"
5904,寶雅,"-1,670,414","-1,826,710","-1,109,454","-2,442,151"
5434,崇越,"-1,181,047","-1,453,597","-1,598,956","-1,816,996"
3665,貿聯-KY,"-1,174,657","-1,082,724","-1,385,649","-1,564,463"
2637,慧洋-KY,"-1,033,735","-1,119,613","-4,105,251","-4,851,660"
1808,潤隆,"-616,661","-74,000","-784,393","-270,616"
2451,創見,"-1,930,778","-1,308,638","-2,574,370","-2,402,745"
4919,新唐,"-345,065","-311,733","-2,098,826","-2,938,357"
2548,華固,"-2,076,095","-1,937,689","-2,076,095","-2,076,095"
1210,大成,"-1,720,349","-2,111,337","-1,208,154","-1,268,561"
6147,頎邦,"-2,747,900","-2,551,788","-4,432,052","-4,062,715"
4915,致伸,"-1,076,876","-1,354,873","-1,411,230","-1,791,794"
6223,旺矽
2006,東和鋼鐵,"-1,355,482","-1,634,807","-4,673,368","-2,555,748"
2923,鼎固-KY,"-3,880,863","-2,088,356","-2,088,356","-1,044,178"
3376,新日興,"-727,018","-1,344,184","-962,426","-1,126,490"
2634,漢翔,"-1,120,822","-188,373","-329,653","-1,017,216"
1907,永豐餘,"-1,162,260","-2,490,557","-2,490,557"
6414,樺漢,"-331,678","-480,785","-742,259","-1,604,720"
2903,遠百,"-1,131,061","-1,556,294","-1,273,077","-1,556,870"
8996,高力,"-178,768","-151,953","-134,076","-134,076"
5508,永信建,"-391,588","-726,340","-1,740,751","-1,379,668"
8112,至上,"-1,016,716","-1,135,489","-1,713,986","-1,922,948"
1560,中砂,"-394,800","-396,113","-400,280","-576,239"
2363,矽統,"-192,262","-504,774","-545,156","-749,589"
4766,南寶,"-751,745","-861,339","-760,867","-1,264,062"
6643,M31,"-234,885","-248,856","-197,782","-253,584"
5903,全家,"-1,450,930","-1,674,150","-1,049,134","-1,450,930"
2015,豐興,"-1,744,798","-2,035,598","-2,907,997","-2,326,398"
3189,景碩,"-451,039","-450,847","-2,028,798","-3,438,175"
3030,德律,"-779,513","-779,513","-779,513","-1,062,972"
6213,聯茂,"-1,664,786","-1,664,786","-1,914,786","-1,088,872"
