代號,公司名稱,109季,110季,111季,112季
2330,台積電,"517,885,387","596,540,013","1,016,530,249","838,497,664"
2317,鴻海,"101,794,807","139,320,332","141,482,714","142,098,208"
2454,聯發科,"40,916,800","111,421,062","118,141,106","76,978,637"
2382,廣達,"25,327,631","33,652,524","28,957,466","39,676,394"
2881,富邦金
2412,中華電,"33,406,130","35,753,579","36,477,157","36,916,708"
2308,台達電,"25,485,231","26,796,302","32,665,728","33,392,665"
2882,國泰金
2891,中信金
3711,日月光投控,"27,592,979","63,907,680","62,090,494","31,725,403"
2303,聯電,"29,189,489","55,780,255","87,198,291","60,989,633"
6505,台塑化,"7,429,609","49,401,403","14,421,560","21,888,842"
3034,聯詠,"11,817,239","38,865,560","27,969,522","23,317,509"
2357,華碩,"26,557,672","44,549,798","14,690,785","15,928,283"
2002,中鋼,"885,865","62,053,033","17,783,775","1,681,679"
2207,和泰車
2880,華南金
3008,大立光,"24,534,131","18,671,230","22,625,049","17,902,322"
3231,緯創,"8,681,762","10,468,030","11,162,451","11,471,616"
2345,智邦,"5,048,353","4,705,059","8,165,812","8,920,165"
2395,研華,"7,247,955","8,250,224","10,757,077","10,837,530"
4904,遠傳,"8,354,128","9,123,795","9,607,895","11,185,918"
4938,和碩,"20,207,598","20,545,643","15,096,180","15,712,958"
1326,台化,"19,544,141","38,359,347","7,359,531","8,548,518"
2890,永豐金
2327,國巨,"12,979,739","22,902,546","22,730,465","17,468,846"
2379,瑞昱,"8,793,477"
2886,兆豐金
6669,緯穎,"8,609,657","8,648,012","14,174,709","12,043,655"
1216,統一,"21,542,407","19,879,062","17,168,480","18,336,478"
2884,玉山金
2603,長榮,"24,364,926","239,014,860","334,200,661","35,337,051"
2885,元大金
1303,南亞,"25,709,049","81,295,023","32,108,977","6,310,050"
2615,萬海,"11,316,981","103,342,908","93,072,097","-5,796,413"
1101,台泥,"25,099,309","20,256,366","5,404,984","7,997,814"
2883,開發金
6488,環球晶,"13,103,614","11,870,037","15,367,386","19,772,048"
5871,中租-KY
2301,光寶科,"10,016,038","13,886,552","14,151,016","14,570,616"
1519,華城,"457,514","289,883","838,249","2,577,260"
2887,台新金
5876,上海商銀
3661,世芯-KY,"834,917","1,489,723","1,834,414","3,325,170"
1590,亞德客-KY,"4,845,297","6,442,025","6,013,131","6,965,808"
3443,創意,"850,007","1,460,149","3,710,442","3,507,885"
2408,南亞科,"7,686,041","22,849,015","14,619,031","-7,439,634"
6415,矽力*-KY,"3,278,478","5,733,776","6,038,731","746,004"
3529,力旺,"707,999","1,101,157","1,611,909"
1301,台塑,"20,036,199","71,355,311","36,142,868","7,337,709"
5880,合庫金
2892,第一金
8069,元太,"3,602,589","5,150,045","9,911,750","7,814,326"
2912,統一超,"10,238,162","8,861,619","9,281,650","10,613,914"
3017,奇鋐,"1,915,846","2,900,627","4,162,261","5,304,713"
3037,欣興,"5,461,671","13,222,256","29,618,505","11,980,052"
2376,技嘉,"4,374,329","13,337,960","6,538,521","4,742,979"
2356,英業達,"7,547,985","6,537,765","6,128,786","6,130,732"
2801,彰銀
3533,嘉澤,"2,732,361","3,472,201","6,254,263","5,593,032"
2618,長榮航,"-3,361,639","6,608,496","7,091,299","21,594,425"
1402,遠東新,"8,062,699","9,684,584","8,160,292","8,229,199"
5347,世界,"6,305,520","11,819,588","15,280,388","7,370,074"
3529,力旺,"707,999","1,101,157","1,611,909","1,474,443"
2474,可成,"10,902,179","9,151,193"
3653,健策,"867,481","1,196,152","2,614,281","2,298,194"
2353,宏碁,"6,029,287","10,897,427","5,003,688","4,931,944"
2377,微星,"7,959,505","16,921,005","9,962,520","7,532,896"
1605,華新,"6,691,149","14,642,629","19,352,097","5,134,316"
1102,亞泥,"14,710,486","15,068,221","12,016,396","10,882,826"
1476,儒鴻,"4,254,534","5,148,611","6,790,348","5,176,467"
2385,群光,"5,466,764","6,154,426","7,320,081","7,463,959"
2888,新光金
3702,大聯大,"8,123,355","11,496,933","10,512,466","8,109,407"
6239,力成,"6,662,262","8,898,398","8,686,730","8,008,511"
2834,臺企銀
2409,友達,"3,376,324","61,330,628","-21,101,374","-18,203,274"
1503,士電,"1,526,129","1,804,914","2,009,900","2,348,269"
2610,華航,"140,000","9,379,905","2,859,503","6,818,552"
2347,聯強,"8,158,539","17,271,560"
2449,京元電子,"6,836,609","5,840,365"
4958,臻鼎-KY,"8,094,547","9,651,297","14,197,040","6,188,729"
2059,川湖,"1,164,589","2,072,520","4,056,145","2,704,319"
3044,健鼎,"6,125,520","5,858,365","6,200,335","6,061,791"
9904,寶成,"4,840,184","14,439,307","12,644,855","10,623,608"
1229,聯華,"3,098,730","4,089,143","3,871,653","4,158,206"
8464,億豐,"4,795,175","6,173,011","5,487,702"
2344,華邦電,"1,304,019","13,594,643","12,927,165","-1,146,522"
8454,富邦媒,"1,943,304","3,280,300","3,434,626","3,628,069"
6176,瑞儀,"5,227,665","5,189,975","6,726,974","5,275,963"
2542,興富發,"2,645,801","8,186,868","3,740,998","2,437,372"
2354,鴻準,"4,718,343","4,488,906","4,266,446","4,260,720"
2812,台中銀
1513,中興電,"1,527,368","1,957,171","2,434,238","1,585,695"
